,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
517,Ali Murtaza,4.0,18,2,13,4.5,12.0,PWI,Wankhede Stadium,20 April 2011
518,Dale Steyn,4.0,18,2,16,4.5,12.0,RR,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
519,Munaf Patel,4.0,18,2,9,4.5,12.0,PBKS,Wankhede Stadium,02 May 2011
520,Jacques Kallis,4.0,18,2,14,4.5,12.0,MI,Wankhede Stadium,25 May 2011
521,Munaf Patel,4.0,18,2,17,4.5,12.0,RR,Sawai Mansingh Stadium,29 April 2011
522,Muttiah Muralitharan,4.0,18,1,10,4.5,24.0,KKR,Eden Gardens,20 April 2011
523,James Faulkner,2.0,9,1,7,4.5,12.0,DC,Arun Jaitley Stadium,21 May 2011
524,Amit Mishra,4.0,18,1,10,4.5,24.0,MI,Wankhede Stadium,14 May 2011
525,Rahul Sharma,4.0,18,1,13,4.5,24.0,KTK,DY Patil Stadium,13 April 2011
526,Ravichandran Ashwin,4.0,18,1,12,4.5,24.0,RCB,M. Chinnaswamy Stadium,22 May 2011
527,Shrikant Wagh,2.0,9,1,5,4.5,12.0,MI,Wankhede Stadium,20 April 2011
528,Amit Singh,4.0,18,1,16,4.5,24.0,DC,Sawai Mansingh Stadium,12 April 2011
529,Bipul Sharma,2.0,9,0,5,4.5,0.0,KKR,Eden Gardens,30 April 2011
530,Daniel Vettori,4.0,18,0,11,4.5,0.0,MI,M. Chinnaswamy Stadium,12 April 2011
531,Chris Gayle,2.0,9,0,5,4.5,0.0,KKR,Eden Gardens,22 April 2011
532,Rajat Bhatia,4.0,18,0,13,4.5,0.0,PBKS,Eden Gardens,30 April 2011
533,Dale Steyn,3.3,16,3,16,4.57,7.0,KTK,Jawaharlal Nehru Stadium,27 April 2011
534,Harbhajan Singh,3.0,14,2,11,4.66,9.0,DC,Arun Jaitley Stadium,10 April 2011
535,Bhuvneshwar Kumar,3.0,14,2,9,4.66,9.0,PBKS,IS Bindra Stadium,08 May 2011
536,Rahul Sharma,3.0,14,1,8,4.66,18.0,MI,Wankhede Stadium,20 April 2011
537,Shane Warne,3.0,14,0,8,4.66,0.0,CSK,Chidambaram,04 May 2011
538,Mithun Manhas,3.0,14,0,8,4.66,0.0,PBKS,DY Patil Stadium,10 April 2011
539,Daniel Vettori,4.0,19,3,9,4.75,8.0,MI,Chidambaram,27 May 2011
540,Shane Watson,4.0,19,3,12,4.75,8.0,MI,Wankhede Stadium,20 May 2011
541,Siddharth Trivedi,4.0,19,3,11,4.75,8.0,KTK,Sawai Mansingh Stadium,24 April 2011
542,Ravichandran Ashwin,4.0,19,2,12,4.75,12.0,PWI,Chidambaram,25 April 2011
543,Ravichandran Ashwin,4.0,19,2,12,4.75,12.0,DC,Chidambaram,12 May 2011
544,Zaheer Khan,4.0,19,2,15,4.75,12.0,CSK,M. Chinnaswamy Stadium,22 May 2011
545,Praveen Kumar,4.0,19,2,17,4.75,12.0,MI,IS Bindra Stadium,10 May 2011
546,Lasith Malinga,4.0,19,2,10,4.75,12.0,PBKS,Wankhede Stadium,02 May 2011
547,Iqbal Abdulla,4.0,19,2,14,4.75,12.0,PBKS,Eden Gardens,30 April 2011
548,Amit Mishra,4.0,19,2,11,4.75,12.0,KKR,Eden Gardens,11 April 2011
549,Shane Watson,4.0,19,1,9,4.75,24.0,PWI,Sawai Mansingh Stadium,01 May 2011
550,Johan Botha,4.0,19,1,10,4.75,24.0,KTK,Sawai Mansingh Stadium,24 April 2011
551,Lasith Malinga,4.0,19,1,10,4.75,24.0,KKR,Wankhede Stadium,25 May 2011
552,Albie Morkel,4.0,19,1,15,4.75,24.0,MI,Wankhede Stadium,22 April 2011
553,Chris Gayle,4.0,19,0,10,4.75,0.0,CSK,Wankhede Stadium,24 May 2011
554,Irfan Pathan,2.5,14,0,8,4.94,0.0,MI,Arun Jaitley Stadium,10 April 2011
555,Lakshmipathy Balaji,3.0,15,3,10,5.0,6.0,RR,Eden Gardens,17 April 2011
556,Yusuf Pathan,4.0,20,3,12,5.0,8.0,KTK,Eden Gardens,20 April 2011
557,Doug Bollinger,4.0,20,2,8,5.0,12.0,PWI,Chidambaram,25 April 2011
558,Sreenath Aravind,4.0,20,2,14,5.0,12.0,CSK,M. Chinnaswamy Stadium,22 May 2011
559,Sreenath Aravind,4.0,20,2,13,5.0,12.0,KTK,M. Chinnaswamy Stadium,08 May 2011
560,Ashok Menaria,4.0,20,2,10,5.0,12.0,MI,Sawai Mansingh Stadium,29 April 2011
561,Lasith Malinga,4.0,20,2,12,5.0,12.0,CSK,Wankhede Stadium,22 April 2011
562,Doug Bollinger,4.0,20,1,11,5.0,24.0,RCB,Wankhede Stadium,24 May 2011
563,Vinay Kumar,3.0,15,1,9,5.0,18.0,PWI,DY Patil Stadium,13 April 2011
564,Yusuf Pathan,2.0,10,1,3,5.0,12.0,RR,Eden Gardens,17 April 2011
565,Varun Aaron,4.0,20,1,11,5.0,24.0,CSK,Chidambaram,12 May 2011
566,Wayne Parnell,4.0,20,1,16,5.0,24.0,PBKS,DY Patil Stadium,10 April 2011
567,Lasith Malinga,4.0,20,1,14,5.0,24.0,RR,Sawai Mansingh Stadium,29 April 2011
568,Roelof van der Merwe,3.0,15,1,8,5.0,18.0,KTK,Arun Jaitley Stadium,02 May 2011
569,Syed Mohammad,4.0,20,1,12,5.0,24.0,KKR,Eden Gardens,22 April 2011
570,Kieron Pollard,2.0,10,1,5,5.0,12.0,DEC,Wankhede Stadium,14 May 2011
571,Shrikant Wagh,2.0,10,0,8,5.0,0.0,KTK,DY Patil Stadium,13 April 2011
572,Dhawal Kulkarni,4.0,20,0,12,5.0,0.0,PWI,DY Patil Stadium,04 May 2011
573,Munaf Patel,3.0,15,0,8,5.0,0.0,KTK,Wankhede Stadium,15 April 2011
574,Yuvraj Singh,2.0,10,0,3,5.0,0.0,RCB,M. Chinnaswamy Stadium,29 April 2011
575,Shane Watson,4.0,20,0,12,5.0,0.0,KKR,Eden Gardens,17 April 2011
576,Rajat Bhatia,2.0,10,0,3,5.0,0.0,CSK,Eden Gardens,07 May 2011
577,Alfonso Thomas,3.0,15,0,9,5.0,0.0,DC,Arun Jaitley Stadium,21 May 2011
578,Bhuvneshwar Kumar,2.0,10,0,7,5.0,0.0,DEC,DY Patil Stadium,16 May 2011
579,Mitchell Marsh,2.1,11,1,3,5.07,13.0,DC,Arun Jaitley Stadium,21 May 2011
580,Brett Lee,2.2,12,1,6,5.14,14.0,RR,Eden Gardens,17 April 2011
581,Roelof van der Merwe,3.5,20,3,9,5.21,7.66,KTK,Jawaharlal Nehru Stadium,30 April 2011
582,Munaf Patel,4.0,21,5,13,5.25,4.8,PBKS,IS Bindra Stadium,10 May 2011
583,Doug Bollinger,4.0,21,3,14,5.25,8.0,PWI,DY Patil Stadium,27 April 2011
584,Chris Gayle,4.0,21,3,7,5.25,8.0,PBKS,M. Chinnaswamy Stadium,06 May 2011
585,RP Singh,4.0,21,2,12,5.25,12.0,DEC,Jawaharlal Nehru Stadium,27 April 2011
586,Shakib Al Hasan,4.0,21,2,10,5.25,12.0,RR,Eden Gardens,17 April 2011
587,Shane Warne,4.0,21,2,13,5.25,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
588,Shadab Jakati,4.0,21,2,9,5.25,12.0,RCB,Chidambaram,28 May 2011
589,Vinay Kumar,4.0,21,1,10,5.25,24.0,KKR,Eden Gardens,20 April 2011
590,Ali Murtaza,4.0,21,1,13,5.25,24.0,DC,Arun Jaitley Stadium,10 April 2011
591,Ishant Sharma,4.0,21,1,14,5.25,24.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
592,Dwayne Bravo,4.0,21,0,12,5.25,0.0,RCB,M. Chinnaswamy Stadium,22 May 2011
