,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
551,AB de Villiers,65,44,147.72,5,2,CSK,Chidambaram,16 April 2011
552,Dwaraka Ravi Teja,60,41,146.34,5,2,PBKS,HPCA Stadium,21 May 2011
553,Shaun Marsh,42,30,140.0,5,2,KTK,Holkar Cricket Stadium,13 May 2011
554,Virat Kohli,71,51,139.21,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
555,Adam Gilchrist,61,46,132.6,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
556,Shaun Marsh,43,34,126.47,5,0,MI,IS Bindra Stadium,10 May 2011
557,Shikhar Dhawan,45,36,125.0,5,1,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
558,Kumar Sangakkara,35,28,125.0,5,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
559,Suresh Raina,50,40,125.0,5,1,KTK,Jawaharlal Nehru Stadium,18 April 2011
560,Rohit Sharma,58,47,123.4,5,1,RR,Wankhede Stadium,20 May 2011
561,Shane Watson,32,26,123.07,5,0,CSK,Chidambaram,04 May 2011
562,Parthiv Patel,37,31,119.35,5,0,DC,Arun Jaitley Stadium,02 May 2011
563,Rahul Dravid,44,37,118.91,5,1,KTK,Sawai Mansingh Stadium,24 April 2011
564,Shikhar Dhawan,25,22,113.63,5,0,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
565,Michael Hussey,46,41,112.19,5,0,DEC,Chidambaram,01 May 2011
566,Venugopal Rao,40,36,111.11,5,0,KTK,Arun Jaitley Stadium,02 May 2011
567,Jacques Kallis,45,41,109.75,5,0,KTK,Jawaharlal Nehru Stadium,05 May 2011
568,Mithun Manhas,35,32,109.37,5,1,PBKS,DY Patil Stadium,10 April 2011
569,Virat Kohli,31,29,106.89,5,0,CSK,M. Chinnaswamy Stadium,22 May 2011
570,David Warner,51,48,106.25,5,1,DEC,Arun Jaitley Stadium,19 April 2011
571,Subramaniam Badrinath,34,32,106.25,5,0,RCB,Wankhede Stadium,24 May 2011
572,Harbhajan Singh,30,29,103.44,5,0,KKR,Eden Gardens,22 May 2011
573,Mayank Agarwal,34,33,103.03,5,0,CSK,Wankhede Stadium,24 May 2011
574,Sunny Sohal,38,37,102.7,5,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
575,Sachin Tendulkar,24,24,100.0,5,0,PWI,DY Patil Stadium,04 May 2011
576,Mahela Jayawardena,25,27,92.59,5,0,KKR,Eden Gardens,20 April 2011
577,Amit Mishra,18,6,300.0,4,0,MI,Wankhede Stadium,14 May 2011
578,MS Dhoni,43,20,215.0,4,2,PBKS,IS Bindra Stadium,13 April 2011
579,Yuvraj Singh,66,32,206.25,4,5,DC,DY Patil Stadium,17 April 2011
580,Chris Gayle,49,26,188.46,4,4,PWI,M. Chinnaswamy Stadium,29 April 2011
581,Chris Gayle,26,14,185.71,4,1,DC,Arun Jaitley Stadium,26 April 2011
582,Murali Vijay,95,52,182.69,4,6,RCB,Chidambaram,28 May 2011
583,Tillakaratne Dilshan,16,9,177.77,4,0,PBKS,M. Chinnaswamy Stadium,06 May 2011
584,Adam Gilchrist,28,16,175.0,4,1,RR,IS Bindra Stadium,21 April 2011
585,Cheteshwar Pujara,25,15,166.66,4,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
586,Shakib Al Hasan,26,16,162.5,4,0,MI,Wankhede Stadium,25 May 2011
587,Gautam Gambhir,29,18,161.11,4,0,DEC,Eden Gardens,11 April 2011
588,Virat Kohli,67,42,159.52,4,4,PWI,M. Chinnaswamy Stadium,29 April 2011
589,Jesse Ryder,19,12,158.33,4,0,CSK,DY Patil Stadium,27 April 2011
590,Shane Watson,24,16,150.0,4,0,PBKS,IS Bindra Stadium,21 April 2011
591,Chris Gayle,75,50,150.0,4,6,CSK,M. Chinnaswamy Stadium,22 May 2011
592,Venugopal Rao,60,40,150.0,4,4,RR,Sawai Mansingh Stadium,12 April 2011
593,Jesse Ryder,51,34,150.0,4,2,RCB,M. Chinnaswamy Stadium,29 April 2011
594,Paul Valthaty,46,31,148.38,4,3,RR,IS Bindra Stadium,21 April 2011
595,Yusuf Pathan,22,15,146.66,4,0,DEC,Eden Gardens,11 April 2011
596,Suresh Raina,73,50,146.0,4,6,RCB,Wankhede Stadium,24 May 2011
597,Brendon McCullum,47,33,142.42,4,3,CSK,Jawaharlal Nehru Stadium,18 April 2011
598,Dinesh Karthik,27,19,142.1,4,0,DC,HPCA Stadium,15 May 2011
599,Brendon McCullum,45,32,140.62,4,2,RCB,Jawaharlal Nehru Stadium,09 April 2011
600,Ajinkya Rahane,98,66,148.48,16,1,PBKS,Sawai Mansingh Stadium,06 April 2012
601,Murali Vijay,113,58,194.82,15,4,DC,Chidambaram,25 May 2012
602,Virender Sehwag,73,38,192.1,12,1,RR,Sawai Mansingh Stadium,01 May 2012
603,Rohit Sharma,109,60,181.66,12,5,KKR,Eden Gardens,12 May 2012
604,Ajinkya Rahane,103,60,171.66,12,5,RCB,M. Chinnaswamy Stadium,15 April 2012
605,Sachin Tendulkar,74,44,168.18,11,1,CSK,Wankhede Stadium,06 May 2012
606,David Warner,109,54,201.85,10,7,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
607,Virender Sehwag,87,48,181.25,10,3,PWI,Maharashtra Cricket Association's International Stadium,24 April 2012
608,David Warner,79,44,179.54,10,4,PBKS,HPCA Stadium,19 May 2012
609,Shane Watson,90,51,176.47,10,4,PWI,Maharashtra Cricket Association's International Stadium,08 May 2012
610,Kumar Sangakkara,82,52,157.69,10,2,PWI,Barabati Stadium,01 May 2012
611,Dwayne Smith,87,58,150.0,10,3,RR,Sawai Mansingh Stadium,20 May 2012
612,Shikhar Dhawan,73,52,140.38,10,1,RCB,M. Chinnaswamy Stadium,06 May 2012
613,Tillakaratne Dilshan,76,58,131.03,10,1,RR,Sawai Mansingh Stadium,23 April 2012
614,Gautam Gambhir,93,51,182.35,9,5,RCB,Eden Gardens,28 April 2012
615,Shikhar Dhawan,84,49,171.42,9,5,DC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
616,Gautam Gambhir,64,39,164.1,9,1,RCB,M. Chinnaswamy Stadium,10 April 2012
617,Robin Uthappa,69,45,153.33,9,2,RCB,M. Chinnaswamy Stadium,17 April 2012
618,Cameron White,77,53,145.28,9,2,CSK,Chidambaram,04 May 2012
619,Adam Gilchrist,64,46,139.13,9,2,CSK,HPCA Stadium,17 May 2012
620,Virat Kohli,73,53,137.73,9,1,DC,Arun Jaitley Stadium,17 May 2012
621,Ajinkya Rahane,84,63,133.33,9,1,DC,Arun Jaitley Stadium,29 April 2012
622,Virender Sehwag,73,39,187.17,8,4,MI,Arun Jaitley Stadium,27 April 2012
623,Manvinder Bisla,89,48,185.41,8,5,CSK,Chidambaram,27 May 2012
624,Cameron White,67,41,163.41,8,1,PBKS,IS Bindra Stadium,13 May 2012
625,Virender Sehwag,63,39,161.53,8,2,RR,Arun Jaitley Stadium,29 April 2012
626,Mandeep Singh,75,48,156.25,8,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,08 May 2012
627,Chris Gayle,87,56,155.35,8,4,PBKS,IS Bindra Stadium,20 April 2012
628,Rahul Dravid,58,42,138.09,8,0,RCB,Sawai Mansingh Stadium,23 April 2012
629,Tillakaratne Dilshan,71,54,131.48,8,2,DEC,M. Chinnaswamy Stadium,06 May 2012
630,Mahela Jayawardena,55,42,130.95,8,0,MI,Arun Jaitley Stadium,27 April 2012
631,Michael Hussey,49,39,125.64,8,1,MI,M. Chinnaswamy Stadium,23 May 2012
632,Shikhar Dhawan,52,43,120.93,8,0,RR,Sawai Mansingh Stadium,17 April 2012
633,Subramaniam Badrinath,57,48,118.75,8,0,PWI,Chidambaram,19 April 2012
634,Rahul Dravid,46,39,117.94,8,0,PBKS,IS Bindra Stadium,05 May 2012
635,Brendon McCullum,43,37,116.21,8,0,RCB,Eden Gardens,28 April 2012
636,Mahela Jayawardena,56,49,114.28,8,0,PBKS,Arun Jaitley Stadium,15 May 2012
637,Ross Taylor,55,26,211.53,7,2,RCB,Arun Jaitley Stadium,17 May 2012
638,Chris Gayle,128,62,206.45,7,13,DC,Arun Jaitley Stadium,17 May 2012
639,Rahul Dravid,42,24,175.0,7,1,DEC,Sawai Mansingh Stadium,17 April 2012
640,Cameron White,65,40,162.5,7,2,DC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
641,Gautam Gambhir,66,44,150.0,7,1,PBKS,IS Bindra Stadium,18 April 2012
642,Jesse Ryder,86,58,148.27,7,4,DC,Arun Jaitley Stadium,21 April 2012
643,Chris Gayle,86,58,148.27,7,6,KKR,Eden Gardens,28 April 2012
644,Manish Pandey,80,56,142.85,7,3,DC,Maharashtra Cricket Association's International Stadium,24 April 2012
