,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1856,Dale Steyn,4.0,43,0,0.0,MI,Zayed Cricket Stadium,28 October 2020
1857,Shreyas Gopal,4.0,43,0,0.0,KKR,Dubai International Stadium,30 September 2020
1858,Harshal Patel,4.0,43,0,0.0,RCB,Dubai International Stadium,05 October 2020
1859,Jasprit Bumrah,4.0,43,1,24.0,CSK,Zayed Cricket Stadium,19 September 2020
1860,Rahul Chahar,4.0,43,1,24.0,RCB,Zayed Cricket Stadium,28 October 2020
1861,Murugan Ashwin,4.0,43,1,24.0,RR,Zayed Cricket Stadium,30 October 2020
1862,Khaleel Ahmed,4.0,43,1,24.0,DC,Zayed Cricket Stadium,29 September 2020
1863,T Natarajan,4.0,43,2,12.0,CSK,Dubai International Stadium,02 October 2020
1864,Isuru Udana,3.0,43,0,0.0,RR,Dubai International Stadium,17 October 2020
1865,Jasprit Bumrah,4.0,42,0,0.0,RCB,Dubai International Stadium,28 September 2020
1866,Avesh Khan,4.0,42,0,0.0,CSK,Dubai International Stadium,25 September 2020
1867,Kagiso Rabada,4.0,42,0,0.0,MI,Dubai International Stadium,05 November 2020
1868,Trent Boult,4.0,42,1,24.0,PBKS,Zayed Cricket Stadium,01 October 2020
1869,Prasidh Krishna,4.0,42,1,24.0,RCB,Sharjah Cricket Stadium,12 October 2020
1870,Ravindra Jadeja,4.0,42,2,12.0,MI,Zayed Cricket Stadium,19 September 2020
1871,Kartik Tyagi,3.1,42,0,0.0,SRH,Dubai International Stadium,22 October 2020
1872,Ankit Rajpoot,3.0,42,0,0.0,MI,Zayed Cricket Stadium,06 October 2020
1873,Chris Jordan,3.0,42,0,0.0,CSK,Dubai International Stadium,04 October 2020
1874,Harpreet Brar,4.0,41,0,0.0,CSK,Dubai International Stadium,04 October 2020
1875,Abdul Samad,4.0,41,1,24.0,CSK,Dubai International Stadium,02 October 2020
1876,Isuru Udana,4.0,41,2,12.0,RR,Zayed Cricket Stadium,03 October 2020
1877,Jasprit Bumrah,4.0,41,2,12.0,SRH,Sharjah Cricket Stadium,04 October 2020
1878,T Natarajan,4.0,41,2,12.0,CSK,Dubai International Stadium,13 October 2020
1879,Marcus Stoinis,4.0,41,2,12.0,KKR,Zayed Cricket Stadium,24 October 2020
1880,Sandeep Sharma,4.0,41,2,12.0,MI,Sharjah Cricket Stadium,04 October 2020
1881,Tushar Deshpande,2.0,41,0,0.0,PBKS,Dubai International Stadium,20 October 2020
1882,Ravindra Jadeja,4.0,40,0,0.0,RR,Sharjah Cricket Stadium,22 September 2020
1883,Tushar Deshpande,4.0,40,0,0.0,KKR,Zayed Cricket Stadium,24 October 2020
1884,Trent Boult,4.0,40,0,0.0,RR,Zayed Cricket Stadium,25 October 2020
1885,Anrich Nortje,4.0,40,0,0.0,SRH,Zayed Cricket Stadium,29 September 2020
1886,Daniel Sams,4.0,40,0,0.0,RCB,Zayed Cricket Stadium,02 November 2020
1887,Sunil Narine,4.0,40,1,24.0,RR,Dubai International Stadium,30 September 2020
1888,Mohammad Shami,4.0,40,1,24.0,SRH,Dubai International Stadium,08 October 2020
