,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1885,Krunal Pandya,4.0,22,1,0,11,24.0,DC,Dubai International Stadium,05 November 2020
1886,Rashid Khan,4.0,22,1,0,11,24.0,MI,Sharjah Cricket Stadium,04 October 2020
1887,Rashid Khan,4.0,22,0,0,11,0.0,RCB,Zayed Cricket Stadium,06 November 2020
1888,Krunal Pandya,4.0,23,0,0,11,0.0,KKR,Zayed Cricket Stadium,16 October 2020
1889,Jofra Archer,4.0,24,3,0,11,8.0,DC,Sharjah Cricket Stadium,09 October 2020
1890,Sam Curran,3.0,18,1,0,11,18.0,SRH,Dubai International Stadium,13 October 2020
1891,Rahul Tewatia,4.0,25,3,0,11,8.0,KKR,Dubai International Stadium,01 November 2020
1892,Chris Jordan,4.0,25,2,0,11,12.0,KKR,Sharjah Cricket Stadium,26 October 2020
1893,Pat Cummins,4.0,25,0,0,11,0.0,CSK,Zayed Cricket Stadium,07 October 2020
1894,Bhuvneshwar Kumar,4.0,25,0,0,11,0.0,RCB,Dubai International Stadium,21 September 2020
1895,T Natarajan,3.5,24,2,0,11,11.5,PBKS,Dubai International Stadium,08 October 2020
1896,Kagiso Rabada,4.0,26,3,0,11,8.0,CSK,Dubai International Stadium,25 September 2020
1897,T Natarajan,4.0,26,2,0,11,12.0,DC,Dubai International Stadium,27 October 2020
1898,Rahul Chahar,4.0,26,2,0,11,12.0,KKR,Zayed Cricket Stadium,23 September 2020
1899,Sandeep Sharma,4.0,27,2,0,11,12.0,DC,Dubai International Stadium,27 October 2020
1900,Trent Boult,4.0,28,2,0,11,12.0,SRH,Sharjah Cricket Stadium,04 October 2020
1901,Shreyas Gopal,4.0,28,2,0,11,12.0,MI,Zayed Cricket Stadium,06 October 2020
1902,Anrich Nortje,4.0,28,0,0,11,0.0,MI,Zayed Cricket Stadium,11 October 2020
1903,Varun Chakaravarthy,4.0,28,0,0,11,0.0,RCB,Zayed Cricket Stadium,21 October 2020
1904,Ravichandran Ashwin,4.0,29,3,0,11,8.0,MI,Dubai International Stadium,05 November 2020
1905,Andre Russell,4.0,29,2,0,11,12.0,DC,Sharjah Cricket Stadium,03 October 2020
1906,T Natarajan,4.0,29,0,0,11,0.0,MI,Sharjah Cricket Stadium,04 October 2020
1907,Mohammad Shami,4.0,30,1,0,11,24.0,KKR,Zayed Cricket Stadium,10 October 2020
1908,Navdeep Saini,3.0,23,1,0,11,18.0,KKR,Zayed Cricket Stadium,21 October 2020
1909,Jofra Archer,4.0,31,2,0,11,12.0,MI,Zayed Cricket Stadium,25 October 2020
1910,Deepak Chahar,4.0,31,2,0,11,12.0,SRH,Dubai International Stadium,02 October 2020
1911,Anrich Nortje,4.0,33,3,0,11,8.0,RCB,Zayed Cricket Stadium,02 November 2020
1912,Jason Holder,4.0,33,3,0,11,8.0,RR,Dubai International Stadium,22 October 2020
1913,Anrich Nortje,4.0,33,3,0,11,8.0,KKR,Sharjah Cricket Stadium,03 October 2020
1914,Anrich Nortje,4.0,33,0,0,11,0.0,PBKS,Dubai International Stadium,20 September 2020
1915,Mohammed Siraj,4.0,34,2,0,11,12.0,DC,Dubai International Stadium,05 October 2020
1916,Mohammad Shami,4.0,34,1,0,11,24.0,SRH,Dubai International Stadium,24 October 2020
1917,Jofra Archer,4.0,34,1,0,11,24.0,MI,Zayed Cricket Stadium,06 October 2020
1918,Deepak Chahar,4.0,34,0,0,11,0.0,MI,Sharjah Cricket Stadium,23 October 2020
1919,Kartik Tyagi,4.0,35,1,0,11,24.0,CSK,Zayed Cricket Stadium,19 October 2020
1920,Anrich Nortje,4.0,37,1,0,11,24.0,SRH,Dubai International Stadium,27 October 2020
1921,Pat Cummins,4.0,38,0,0,11,0.0,RCB,Sharjah Cricket Stadium,12 October 2020
1922,Lungi Ngidi,4.0,39,3,0,11,8.0,PBKS,Zayed Cricket Stadium,01 November 2020
1923,Deepak Chahar,3.0,10,1,0,10,18.0,RCB,Dubai International Stadium,10 October 2020
1924,Chris Morris,4.0,17,2,0,10,12.0,KKR,Sharjah Cricket Stadium,12 October 2020
1925,Ravichandran Ashwin,4.0,17,1,0,10,24.0,RR,Dubai International Stadium,14 October 2020
1926,Axar Patel,4.0,18,2,0,10,12.0,RCB,Dubai International Stadium,05 October 2020
1927,Deepak Chahar,4.0,18,2,1,10,12.0,DC,Sharjah Cricket Stadium,17 October 2020
1928,Ravichandran Ashwin,4.0,18,1,0,10,24.0,RCB,Zayed Cricket Stadium,02 November 2020
1929,Axar Patel,4.0,18,1,0,10,24.0,CSK,Dubai International Stadium,25 September 2020
1930,Mohammad Shami,3.0,14,1,0,10,18.0,RCB,Dubai International Stadium,24 September 2020
1931,Washington Sundar,4.0,20,0,0,10,0.0,MI,Zayed Cricket Stadium,28 October 2020
1932,Varun Chakaravarthy,4.0,23,1,0,10,24.0,MI,Zayed Cricket Stadium,16 October 2020
1933,Deepak Chahar,4.0,13,4,1,18,6.0,PBKS,Wankhede Stadium,16 April 2021
1934,Jasprit Bumrah,4.0,14,2,0,18,12.0,RR,Sharjah Cricket Stadium,05 October 2021
1935,Chris Morris,4.0,23,4,0,18,6.0,KKR,Wankhede Stadium,24 April 2021
1936,Shardul Thakur,4.0,11,1,0,17,24.0,RCB,Wankhede Stadium,25 April 2021
1937,Mohammad Shami,4.0,14,2,1,17,12.0,SRH,Sharjah Cricket Stadium,25 September 2021
1938,Lockie Ferguson,4.0,18,3,0,17,8.0,RR,Sharjah Cricket Stadium,07 October 2021
1939,Shivam Mavi,4.0,19,1,0,17,24.0,RR,Wankhede Stadium,24 April 2021
1940,Mohammad Shami,4.0,25,1,0,17,24.0,KKR,Narendra Modi Stadium,26 April 2021
1941,Yuzvendra Chahal,4.0,11,3,1,16,8.0,MI,Dubai International Stadium,26 September 2021
1942,Nathan Coulter-Nile,4.0,14,4,0,16,6.0,RR,Sharjah Cricket Stadium,05 October 2021
1943,Varun Chakaravarthy,4.0,14,1,0,16,24.0,RR,Sharjah Cricket Stadium,07 October 2021
1944,Avesh Khan,4.0,15,3,0,16,8.0,MI,Sharjah Cricket Stadium,02 October 2021
1945,Trent Boult,4.0,17,1,0,16,24.0,RCB,Dubai International Stadium,26 September 2021
1946,Jayant Yadav,4.0,20,0,0,16,0.0,PBKS,Chidambaram,23 April 2021
1947,Mohammed Siraj,4.0,27,3,0,16,8.0,RR,Wankhede Stadium,22 April 2021
1948,Ravindra Jadeja,4.0,13,3,1,15,8.0,RCB,Wankhede Stadium,25 April 2021
1949,Varun Chakaravarthy,4.0,13,3,0,15,8.0,RCB,Zayed Cricket Stadium,20 September 2021
