,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
291,Albie Morkel,3.0,24,2,1,11,9.0,DEC,Buffalo Park,04 May 2009
292,Piyush Chawla,4.0,32,1,0,11,24.0,MI,Supersport Park,12 May 2009
293,RP Singh,4.0,33,2,0,11,12.0,DC,Supersport Park,22 May 2009
294,Vinay Kumar,4.0,33,2,0,11,12.0,KKR,Supersport Park,12 May 2009
295,Ishant Sharma,4.0,36,2,0,11,12.0,KKR,Newlands,23 April 2009
296,Ishant Sharma,4.0,36,2,0,11,12.0,RR,Newlands,23 April 2009
297,Munaf Patel,4.0,39,2,0,11,12.0,DC,OUTsurance Oval,17 May 2009
298,Jacques Kallis,4.0,40,0,0,11,0.0,KKR,Supersport Park,12 May 2009
299,Ishant Sharma,4.0,40,0,0,11,0.0,RCB,Supersport Park,12 May 2009
300,Dirk Nannes,4.0,12,2,0,18,12.0,PBKS,IS Bindra Stadium,13 March 2010
301,Ravichandran Ashwin,4.0,13,2,0,18,12.0,DEC,Vidarbha Cricket Association Stadium,10 April 2010
302,Doug Bollinger,4.0,13,4,1,17,6.0,DEC,DY Patil Stadium,22 April 2010
303,Doug Bollinger,4.0,15,2,1,17,12.0,KKR,Chidambaram,13 April 2010
304,Ramesh Powar,4.0,25,0,0,17,0.0,DC,Arun Jaitley Stadium,11 April 2010
305,Dale Steyn,4.0,15,1,0,16,24.0,RR,Sawai Mansingh Stadium,14 April 2010
306,Sanath Jayasuriya,4.0,17,2,0,16,12.0,DC,Arun Jaitley Stadium,17 March 2010
307,Ravichandran Ashwin,4.0,14,1,0,15,24.0,DEC,DY Patil Stadium,22 April 2010
308,Dale Steyn,3.0,11,1,1,15,18.0,DEC,DY Patil Stadium,24 April 2010
309,Ravichandran Ashwin,4.0,16,3,0,15,8.0,KKR,Chidambaram,13 April 2010
310,Muttiah Muralitharan,4.0,16,3,0,15,8.0,PBKS,Chidambaram,21 March 2010
311,Praveen Kumar,4.0,18,3,0,15,8.0,RR,M. Chinnaswamy Stadium,18 March 2010
312,Shane Bond,4.0,20,1,1,15,24.0,RR,Eden Gardens,17 April 2010
313,Doug Bollinger,4.0,15,2,0,14,12.0,RR,Chidambaram,03 April 2010
314,Piyush Chawla,4.0,16,2,0,14,12.0,DC,Arun Jaitley Stadium,11 April 2010
315,Shadab Jakati,4.0,17,2,1,14,12.0,RCB,Chidambaram,31 March 2010
316,Zaheer Khan,4.0,17,2,1,14,12.0,RR,Sawai Mansingh Stadium,11 April 2010
317,Anil Kumble,4.0,17,1,0,14,24.0,KKR,M. Chinnaswamy Stadium,10 April 2010
318,Nayan Doshi,4.0,17,1,0,14,24.0,DEC,DY Patil Stadium,24 April 2010
319,Dale Steyn,4.0,18,0,0,14,0.0,RR,M. Chinnaswamy Stadium,18 March 2010
320,Anil Kumble,4.0,19,0,0,14,0.0,KKR,Eden Gardens,14 March 2010
321,Ramesh Powar,4.0,22,1,0,14,24.0,CSK,Chidambaram,21 March 2010
322,Dale Steyn,4.0,26,3,0,14,8.0,MI,Brabourne Stadium,20 March 2010
323,Zaheer Khan,4.0,27,2,0,14,12.0,KKR,Brabourne Stadium,22 March 2010
324,Chaminda Vaas,4.0,27,2,0,14,12.0,PBKS,Barabati Stadium,19 March 2010
325,Kemar Roach,4.0,32,0,0,14,0.0,MI,DY Patil Stadium,28 March 2010
326,Anil Kumble,3.5,9,3,0,13,7.66,RR,M. Chinnaswamy Stadium,18 March 2010
327,Amit Mishra,4.0,13,1,0,13,24.0,CSK,Chidambaram,15 April 2010
328,Lasith Malinga,3.4,12,3,0,13,7.33,DEC,DY Patil Stadium,28 March 2010
329,Muttiah Muralitharan,4.0,16,1,0,13,24.0,DEC,DY Patil Stadium,22 April 2010
330,RP Singh,4.0,17,3,0,13,8.0,RR,Vidarbha Cricket Association Stadium,05 April 2010
331,MF Maharoof,3.0,13,2,0,13,9.0,RR,Arun Jaitley Stadium,31 March 2010
332,Dale Steyn,4.0,18,3,0,13,8.0,DEC,Vidarbha Cricket Association Stadium,12 April 2010
333,Virender Sehwag,4.0,18,2,0,13,12.0,CSK,Chidambaram,15 April 2010
334,Praveen Kumar,4.0,18,2,0,13,12.0,DEC,DY Patil Stadium,24 April 2010
335,Anil Kumble,3.3,16,4,0,13,5.25,DEC,DY Patil Stadium,24 April 2010
336,Shane Watson,4.0,19,1,0,13,24.0,PBKS,Sawai Mansingh Stadium,07 April 2010
337,Sudeep Tyagi,4.0,19,0,0,13,0.0,RCB,M. Chinnaswamy Stadium,23 March 2010
338,Pradeep Sangwan,4.0,20,1,0,13,24.0,RR,Narendra Modi Stadium,15 March 2010
339,Shane Warne,4.0,21,4,0,13,6.0,DEC,Vidarbha Cricket Association Stadium,05 April 2010
340,Chaminda Vaas,4.0,21,3,1,13,8.0,CSK,Chidambaram,14 March 2010
341,Shane Watson,3.0,17,0,0,13,0.0,KKR,Eden Gardens,17 April 2010
342,Albie Morkel,4.0,23,2,0,13,12.0,PBKS,Chidambaram,21 March 2010
343,Dilhara Fernando,4.0,24,2,0,13,12.0,RCB,M. Chinnaswamy Stadium,17 April 2010
344,Shane Bond,4.0,24,2,0,13,12.0,PBKS,IS Bindra Stadium,27 March 2010
345,Shane Watson,4.0,24,0,0,13,0.0,RCB,Sawai Mansingh Stadium,14 April 2010
346,Ravichandran Ashwin,4.0,24,0,1,13,0.0,MI,DY Patil Stadium,25 April 2010
347,Muttiah Muralitharan,4.0,25,3,0,13,8.0,RCB,M. Chinnaswamy Stadium,23 March 2010
348,Amit Mishra,4.0,25,3,0,13,8.0,RR,Arun Jaitley Stadium,31 March 2010
349,Harmeet Singh Bansal,4.0,25,2,0,13,12.0,RR,Vidarbha Cricket Association Stadium,05 April 2010
350,Vinay Kumar,4.0,25,0,0,13,0.0,RR,M. Chinnaswamy Stadium,18 March 2010
351,Ashish Nehra,4.0,26,3,0,13,8.0,CSK,Chidambaram,15 April 2010
352,Dale Steyn,4.0,27,1,0,13,24.0,KKR,M. Chinnaswamy Stadium,10 April 2010
353,Shane Warne,4.0,28,1,0,13,24.0,RCB,Sawai Mansingh Stadium,14 April 2010
354,Amit Mishra,4.0,32,3,0,13,8.0,RCB,Arun Jaitley Stadium,04 April 2010
355,Sarabjit Ladda,4.0,37,1,0,13,24.0,RR,Arun Jaitley Stadium,31 March 2010
356,Praveen Kumar,4.0,16,1,0,12,24.0,KKR,Eden Gardens,14 March 2010
357,Muttiah Muralitharan,4.0,16,1,0,12,24.0,KKR,Eden Gardens,16 March 2010
358,Juan Theron,4.0,17,2,0,12,12.0,CSK,Chidambaram,21 March 2010
359,Dirk Nannes,4.0,18,1,0,12,24.0,CSK,Arun Jaitley Stadium,19 March 2010
360,Ryan Harris,3.0,14,0,0,12,0.0,RCB,DY Patil Stadium,24 April 2010
361,Dirk Nannes,3.1,15,1,0,12,19.0,KKR,Arun Jaitley Stadium,29 March 2010
362,Pragyan Ojha,4.0,19,0,0,12,0.0,KKR,DY Patil Stadium,12 March 2010
363,Ashok Dinda,4.0,21,2,0,12,12.0,DC,Eden Gardens,07 April 2010
364,Chaminda Vaas,4.0,21,1,0,12,24.0,DC,Barabati Stadium,21 March 2010
365,Pragyan Ojha,3.5,22,0,0,12,0.0,RCB,DY Patil Stadium,24 April 2010
366,Dilhara Fernando,4.0,23,2,0,12,12.0,CSK,DY Patil Stadium,25 April 2010
367,Pragyan Ojha,4.0,24,2,0,12,12.0,MI,DY Patil Stadium,28 March 2010
368,Umesh Yadav,4.0,24,2,0,12,12.0,DEC,Arun Jaitley Stadium,18 April 2010
369,Doug Bollinger,4.0,24,2,0,12,12.0,DC,Chidambaram,15 April 2010
370,Dale Steyn,4.0,25,0,0,12,0.0,CSK,M. Chinnaswamy Stadium,23 March 2010
371,Pankaj Singh,4.0,27,2,1,12,12.0,RR,Sawai Mansingh Stadium,14 April 2010
372,Shalabh Srivastava,4.0,27,1,0,12,24.0,MI,Brabourne Stadium,30 March 2010
373,Ryan Harris,4.0,27,1,0,12,24.0,PBKS,HPCA Stadium,16 April 2010
374,Piyush Chawla,4.0,27,0,0,12,0.0,RR,Sawai Mansingh Stadium,07 April 2010
375,Muttiah Muralitharan,4.0,28,0,0,12,0.0,DEC,Chidambaram,14 March 2010
376,Anil Kumble,4.0,33,1,0,12,24.0,DC,Arun Jaitley Stadium,04 April 2010
377,RP Singh,4.0,35,1,0,12,24.0,KKR,DY Patil Stadium,12 March 2010
378,Lasith Malinga,4.0,36,2,0,12,12.0,PBKS,IS Bindra Stadium,09 April 2010
379,Yuvraj Singh,4.0,14,1,0,11,24.0,DC,Arun Jaitley Stadium,11 April 2010
380,Amit Mishra,4.0,15,1,0,11,24.0,PBKS,Arun Jaitley Stadium,11 April 2010
381,Shane Warne,4.0,15,1,0,11,24.0,DEC,Narendra Modi Stadium,26 March 2010
382,Anil Kumble,4.0,15,1,0,11,24.0,CSK,M. Chinnaswamy Stadium,23 March 2010
383,Pragyan Ojha,4.0,16,2,0,11,12.0,DC,Arun Jaitley Stadium,18 April 2010
384,Anil Kumble,4.0,16,1,0,11,24.0,CSK,Chidambaram,31 March 2010
385,Ryan Harris,4.0,18,3,0,11,8.0,CSK,Vidarbha Cricket Association Stadium,10 April 2010
386,Anil Kumble,4.0,18,1,0,11,24.0,MI,Brabourne Stadium,20 March 2010
387,Zaheer Khan,4.0,18,1,0,11,24.0,RCB,Brabourne Stadium,20 March 2010
388,Paul Collingwood,4.0,19,2,0,11,12.0,PBKS,Arun Jaitley Stadium,11 April 2010
389,Tillakaratne Dilshan,4.0,19,1,0,11,24.0,CSK,Chidambaram,15 April 2010
390,Jacques Kallis,4.0,19,1,0,11,24.0,RR,Sawai Mansingh Stadium,14 April 2010
391,Ashok Dinda,4.0,20,1,0,11,24.0,MI,Eden Gardens,19 April 2010
392,Ravichandran Ashwin,4.0,20,1,0,11,24.0,PBKS,HPCA Stadium,18 April 2010
393,Yuvraj Singh,4.0,21,2,0,11,12.0,DEC,Barabati Stadium,19 March 2010
394,Praveen Kumar,4.0,21,1,0,11,24.0,CSK,M. Chinnaswamy Stadium,23 March 2010
395,Pragyan Ojha,4.0,22,2,0,11,12.0,RCB,Vidarbha Cricket Association Stadium,12 April 2010
396,Shaun Tait,4.0,22,2,0,11,12.0,CSK,Narendra Modi Stadium,28 March 2010
397,Ravichandran Ashwin,4.0,22,1,0,11,24.0,KKR,Eden Gardens,16 March 2010
398,Dirk Nannes,4.0,22,0,0,11,0.0,DEC,Arun Jaitley Stadium,18 April 2010
399,Ryan McLaren,4.0,23,1,0,11,24.0,CSK,Brabourne Stadium,25 March 2010
400,Harbhajan Singh,4.0,23,1,0,11,24.0,CSK,Chidambaram,06 April 2010
401,Lasith Malinga,3.2,20,1,0,11,20.0,DEC,Brabourne Stadium,03 April 2010
402,Pragyan Ojha,4.0,26,3,0,11,8.0,MI,Brabourne Stadium,03 April 2010
403,Andrew Symonds,4.0,26,2,0,11,12.0,KKR,Eden Gardens,01 April 2010
404,Shaun Tait,4.0,26,0,0,11,0.0,DC,Narendra Modi Stadium,15 March 2010
405,Irfan Pathan,3.4,24,3,0,11,7.33,DC,Arun Jaitley Stadium,11 April 2010
406,Dirk Nannes,4.0,27,1,0,11,24.0,RR,Narendra Modi Stadium,15 March 2010
407,Ishant Sharma,4.0,27,0,0,11,0.0,RCB,Eden Gardens,14 March 2010
408,Ali Murtaza,4.0,27,0,0,11,0.0,KKR,Eden Gardens,19 April 2010
409,Ramesh Powar,4.0,28,2,0,11,12.0,CSK,HPCA Stadium,18 April 2010
410,Thilan Thushara,4.0,28,2,0,11,12.0,RR,Narendra Modi Stadium,28 March 2010
411,Piyush Chawla,4.0,28,1,0,11,24.0,CSK,HPCA Stadium,18 April 2010
412,Dilhara Fernando,4.0,28,1,0,11,24.0,RCB,DY Patil Stadium,21 April 2010
413,Shane Bond,4.0,28,1,0,11,24.0,DEC,Eden Gardens,01 April 2010
414,Albie Morkel,4.0,28,1,0,11,24.0,RCB,M. Chinnaswamy Stadium,23 March 2010
415,Sarabjit Ladda,4.0,28,0,0,11,0.0,RR,Narendra Modi Stadium,15 March 2010
416,Irfan Pathan,3.5,27,1,0,11,23.0,DC,IS Bindra Stadium,13 March 2010
417,Shadab Jakati,4.0,29,1,0,11,24.0,DEC,Vidarbha Cricket Association Stadium,10 April 2010
418,Pradeep Sangwan,4.0,32,1,0,11,24.0,PBKS,IS Bindra Stadium,13 March 2010
419,Lasith Malinga,4.0,33,0,0,11,0.0,CSK,DY Patil Stadium,25 April 2010
420,Ryan Harris,4.0,34,2,0,11,12.0,RR,Vidarbha Cricket Association Stadium,05 April 2010
421,Pradeep Sangwan,4.0,35,2,0,11,12.0,MI,Brabourne Stadium,13 April 2010
422,MF Maharoof,4.0,37,2,0,11,12.0,PBKS,IS Bindra Stadium,13 March 2010
423,Ryan Harris,4.0,37,2,0,11,12.0,RCB,M. Chinnaswamy Stadium,08 April 2010
424,Doug Bollinger,4.0,39,1,0,11,24.0,MI,Chidambaram,06 April 2010
425,Amit Mishra,4.0,41,0,0,11,0.0,KKR,Eden Gardens,07 April 2010
426,RP Singh,4.0,43,1,0,11,24.0,PBKS,Barabati Stadium,19 March 2010
427,Kieron Pollard,4.0,15,0,0,10,0.0,DC,Brabourne Stadium,13 April 2010
428,Amit Mishra,3.0,12,1,0,10,18.0,DEC,Barabati Stadium,21 March 2010
429,Kieron Pollard,4.0,17,3,0,10,8.0,RCB,DY Patil Stadium,21 April 2010
430,Andrew Symonds,4.0,18,1,0,10,24.0,CSK,DY Patil Stadium,22 April 2010
431,Amit Mishra,4.0,18,1,0,10,24.0,KKR,Arun Jaitley Stadium,29 March 2010
432,Siddharth Trivedi,4.0,18,0,0,10,0.0,CSK,Narendra Modi Stadium,28 March 2010
433,Dale Steyn,4.0,18,0,0,10,0.0,MI,M. Chinnaswamy Stadium,17 April 2010
434,Ashok Dinda,3.1,15,2,0,10,9.5,RCB,M. Chinnaswamy Stadium,10 April 2010
435,Angelo Mathews,4.0,19,4,0,10,6.0,RCB,Eden Gardens,14 March 2010
436,RP Singh,4.0,21,2,0,10,12.0,RCB,Vidarbha Cricket Association Stadium,12 April 2010
437,Harmeet Singh Bansal,4.0,21,1,0,10,24.0,CSK,Vidarbha Cricket Association Stadium,10 April 2010
438,Lasith Malinga,4.0,22,4,0,10,6.0,PBKS,Brabourne Stadium,30 March 2010
439,Shaun Tait,4.0,22,3,0,10,8.0,DEC,Narendra Modi Stadium,26 March 2010
440,Ravichandran Ashwin,4.0,22,2,0,10,12.0,MI,Chidambaram,06 April 2010
441,Yusuf Pathan,4.0,23,2,0,10,12.0,KKR,Narendra Modi Stadium,20 March 2010
442,Andrew Symonds,4.0,23,1,0,10,24.0,CSK,Vidarbha Cricket Association Stadium,10 April 2010
443,Amit Mishra,4.0,23,1,0,10,24.0,PBKS,IS Bindra Stadium,13 March 2010
444,Shadab Jakati,4.0,23,1,0,10,24.0,KKR,Chidambaram,13 April 2010
445,Ramesh Powar,4.0,23,0,0,10,0.0,KKR,Eden Gardens,04 April 2010
446,Lasith Malinga,4.0,23,0,0,10,0.0,RR,Sawai Mansingh Stadium,11 April 2010
447,Ashok Dinda,4.0,24,2,0,10,12.0,RR,Eden Gardens,17 April 2010
448,Shanthakumaran Sreesanth,4.0,24,2,0,10,12.0,DC,IS Bindra Stadium,13 March 2010
449,Kieron Pollard,4.0,24,1,0,10,24.0,DC,Arun Jaitley Stadium,17 March 2010
450,Morne Morkel,4.0,32,1,0,18,24.0,PBKS,Arun Jaitley Stadium,23 April 2011
451,Rahul Sharma,4.0,7,2,0,17,12.0,MI,DY Patil Stadium,04 May 2011
452,Rahul Sharma,4.0,13,3,1,17,8.0,RR,Sawai Mansingh Stadium,01 May 2011
453,RP Singh,4.0,17,1,0,17,24.0,RR,Holkar Cricket Stadium,15 May 2011
454,Munaf Patel,4.0,18,2,1,17,12.0,RR,Sawai Mansingh Stadium,29 April 2011
455,Praveen Kumar,4.0,19,2,1,17,12.0,MI,IS Bindra Stadium,10 May 2011
456,Amit Mishra,4.0,9,4,1,16,6.0,PBKS,HPCA Stadium,21 May 2011
457,Brad Hodge,4.0,13,4,0,16,6.0,RR,Holkar Cricket Stadium,15 May 2011
458,Lasith Malinga,3.4,13,5,1,16,4.4,DC,Arun Jaitley Stadium,10 April 2011
459,Ishant Sharma,4.0,16,2,0,16,12.0,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
460,Shanthakumaran Sreesanth,4.0,16,2,0,16,12.0,RR,Holkar Cricket Stadium,15 May 2011
461,Pragyan Ojha,4.0,16,0,0,16,0.0,MI,Wankhede Stadium,14 May 2011
462,Dale Steyn,4.0,18,2,0,16,12.0,RR,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
463,Amit Singh,4.0,18,1,1,16,24.0,DC,Sawai Mansingh Stadium,12 April 2011
464,Dale Steyn,3.3,16,3,1,16,7.0,KTK,Jawaharlal Nehru Stadium,27 April 2011
465,Wayne Parnell,4.0,20,1,0,16,24.0,PBKS,DY Patil Stadium,10 April 2011
466,Shanthakumaran Sreesanth,4.0,22,0,1,16,0.0,DEC,Jawaharlal Nehru Stadium,27 April 2011
467,RP Singh,4.0,25,4,0,16,6.0,PBKS,Holkar Cricket Stadium,13 May 2011
468,Brett Lee,4.0,8,0,0,15,0.0,CSK,Eden Gardens,07 May 2011
469,Shanthakumaran Sreesanth,4.0,10,2,1,15,12.0,DC,Jawaharlal Nehru Stadium,30 April 2011
470,Amit Singh,4.0,14,2,0,15,12.0,MI,Sawai Mansingh Stadium,29 April 2011
471,Daniel Vettori,4.0,15,2,0,15,12.0,CSK,M. Chinnaswamy Stadium,22 May 2011
472,Piyush Chawla,4.0,17,4,0,15,6.0,RCB,HPCA Stadium,17 May 2011
473,Shane Warne,4.0,17,2,0,15,12.0,DC,Sawai Mansingh Stadium,12 April 2011
474,Praveen Kumar,4.0,17,1,1,15,24.0,PWI,IS Bindra Stadium,08 May 2011
475,Zaheer Khan,4.0,19,2,1,15,12.0,CSK,M. Chinnaswamy Stadium,22 May 2011
476,Albie Morkel,4.0,19,1,1,15,24.0,MI,Wankhede Stadium,22 April 2011
477,Irfan Pathan,4.0,23,1,1,15,24.0,MI,Wankhede Stadium,07 May 2011
478,RP Singh,4.0,24,1,0,15,24.0,CSK,Jawaharlal Nehru Stadium,18 April 2011
479,Zaheer Khan,4.0,31,2,0,15,12.0,CSK,Wankhede Stadium,24 May 2011
480,Praveen Kumar,4.0,32,1,1,15,24.0,DC,HPCA Stadium,15 May 2011
481,Sreenath Aravind,4.0,14,4,0,14,6.0,PBKS,M. Chinnaswamy Stadium,06 May 2011
482,Amit Mishra,4.0,14,2,0,14,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
483,Raiphi Gomez,4.0,14,2,1,14,12.0,KKR,Jawaharlal Nehru Stadium,05 May 2011
484,Ali Murtaza,4.0,15,0,0,14,0.0,RR,Sawai Mansingh Stadium,29 April 2011
485,Piyush Chawla,4.0,16,3,0,14,8.0,DC,HPCA Stadium,15 May 2011
486,Alfonso Thomas,4.0,16,1,0,14,24.0,MI,Wankhede Stadium,20 April 2011
487,Ryan Harris,4.0,16,1,0,14,24.0,DC,HPCA Stadium,15 May 2011
488,Roelof van der Merwe,4.0,16,0,0,14,0.0,MI,Arun Jaitley Stadium,10 April 2011
489,Ankeet Chavan,4.0,17,0,0,14,0.0,MI,Wankhede Stadium,20 May 2011
490,Dan Christian,3.0,13,2,0,14,9.0,PWI,DY Patil Stadium,16 May 2011
491,Jacques Kallis,4.0,18,2,0,14,12.0,MI,Wankhede Stadium,25 May 2011
492,Iqbal Abdulla,4.0,19,2,0,14,12.0,PBKS,Eden Gardens,30 April 2011
493,Sreenath Aravind,4.0,20,2,0,14,12.0,CSK,M. Chinnaswamy Stadium,22 May 2011
494,Lasith Malinga,4.0,20,1,0,14,24.0,RR,Sawai Mansingh Stadium,29 April 2011
495,Doug Bollinger,4.0,21,3,1,14,8.0,PWI,DY Patil Stadium,27 April 2011
496,Ishant Sharma,4.0,21,1,0,14,24.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
497,Chris Gayle,4.0,26,1,0,14,24.0,KTK,M. Chinnaswamy Stadium,08 May 2011
498,Varun Aaron,4.0,26,0,0,14,0.0,PBKS,HPCA Stadium,15 May 2011
499,P Parameswaran,4.0,29,2,0,14,12.0,DC,Arun Jaitley Stadium,02 May 2011
500,Johan van der Wath,4.0,30,1,0,14,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
501,Pragyan Ojha,4.0,35,2,0,14,12.0,PWI,DY Patil Stadium,16 May 2011
502,Lasith Malinga,4.0,9,3,0,13,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
503,Morne Morkel,4.0,11,1,0,13,24.0,RR,Sawai Mansingh Stadium,12 April 2011
504,Wayne Parnell,4.0,12,2,0,13,12.0,PBKS,IS Bindra Stadium,08 May 2011
505,Shane Warne,4.0,13,1,0,13,24.0,MI,Sawai Mansingh Stadium,29 April 2011
506,Praveen Kumar,3.0,11,0,1,13,0.0,RCB,HPCA Stadium,17 May 2011
507,Siddharth Trivedi,4.0,15,3,0,13,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
508,Iqbal Abdulla,4.0,15,1,0,13,24.0,CSK,Eden Gardens,07 May 2011
509,Shakib Al Hasan,4.0,16,2,0,13,12.0,PWI,DY Patil Stadium,19 May 2011
510,Ali Murtaza,4.0,18,2,0,13,12.0,PWI,Wankhede Stadium,20 April 2011
511,Rahul Sharma,4.0,18,1,0,13,24.0,KTK,DY Patil Stadium,13 April 2011
512,Rajat Bhatia,4.0,18,0,0,13,0.0,PBKS,Eden Gardens,30 April 2011
513,Sreenath Aravind,4.0,20,2,0,13,12.0,KTK,M. Chinnaswamy Stadium,08 May 2011
514,Munaf Patel,4.0,21,5,0,13,4.8,PBKS,IS Bindra Stadium,10 May 2011
515,Shane Warne,4.0,21,2,0,13,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
516,Ali Murtaza,4.0,21,1,0,13,24.0,DC,Arun Jaitley Stadium,10 April 2011
517,Lakshmipathy Balaji,4.0,23,0,0,13,0.0,KTK,Eden Gardens,20 April 2011
518,Dale Steyn,4.0,24,3,0,13,8.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
519,Jaydev Unadkat,4.0,24,1,0,13,24.0,DC,Arun Jaitley Stadium,28 April 2011
520,Lasith Malinga,4.0,25,3,0,13,8.0,PWI,DY Patil Stadium,04 May 2011
521,Morne Morkel,4.0,25,3,0,13,8.0,RCB,Arun Jaitley Stadium,26 April 2011
522,Ryan Harris,4.0,25,1,0,13,24.0,CSK,IS Bindra Stadium,13 April 2011
523,Ryan Harris,4.0,26,1,0,13,24.0,PWI,IS Bindra Stadium,08 May 2011
524,Harmeet Singh Bansal,4.0,27,2,0,13,12.0,DC,Arun Jaitley Stadium,19 April 2011
525,Shaun Tait,3.5,29,1,0,13,23.0,KKR,Eden Gardens,17 April 2011
526,Zaheer Khan,4.0,36,0,0,13,0.0,MI,M. Chinnaswamy Stadium,12 April 2011
527,Ishant Sharma,3.0,12,5,0,12,3.6,KTK,Jawaharlal Nehru Stadium,27 April 2011
528,Ravichandran Ashwin,3.0,12,2,0,12,9.0,KKR,Eden Gardens,07 May 2011
529,Rahul Sharma,4.0,17,2,0,12,12.0,PBKS,IS Bindra Stadium,08 May 2011
530,Lasith Malinga,4.0,17,1,0,12,24.0,DEC,Wankhede Stadium,14 May 2011
531,Morne Morkel,4.0,18,3,0,12,8.0,KTK,Jawaharlal Nehru Stadium,30 April 2011
532,Ravichandran Ashwin,4.0,18,1,0,12,24.0,RCB,M. Chinnaswamy Stadium,22 May 2011
533,Shane Watson,4.0,19,3,0,12,8.0,MI,Wankhede Stadium,20 May 2011
534,Ravichandran Ashwin,4.0,19,2,1,12,12.0,PWI,Chidambaram,25 April 2011
535,Ravichandran Ashwin,4.0,19,2,0,12,12.0,DC,Chidambaram,12 May 2011
536,Yusuf Pathan,4.0,20,3,1,12,8.0,KTK,Eden Gardens,20 April 2011
537,Lasith Malinga,4.0,20,2,0,12,12.0,CSK,Wankhede Stadium,22 April 2011
538,Syed Mohammad,4.0,20,1,0,12,24.0,KKR,Eden Gardens,22 April 2011
539,Shane Watson,4.0,20,0,0,12,0.0,KKR,Eden Gardens,17 April 2011
540,Dhawal Kulkarni,4.0,20,0,0,12,0.0,PWI,DY Patil Stadium,04 May 2011
541,RP Singh,4.0,21,2,0,12,12.0,DEC,Jawaharlal Nehru Stadium,27 April 2011
542,Dwayne Bravo,4.0,21,0,0,12,0.0,RCB,M. Chinnaswamy Stadium,22 May 2011
543,Lasith Malinga,3.2,18,2,1,12,10.0,DC,Wankhede Stadium,07 May 2011
544,Doug Bollinger,4.0,22,3,0,12,8.0,RR,Sawai Mansingh Stadium,09 May 2011
545,Johan Botha,4.0,23,1,0,12,24.0,CSK,Sawai Mansingh Stadium,09 May 2011
546,Johan Botha,4.0,23,1,0,12,24.0,PWI,Sawai Mansingh Stadium,01 May 2011
547,Ishant Sharma,4.0,23,0,0,12,0.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
548,Iqbal Abdulla,4.0,24,3,0,12,8.0,DEC,Eden Gardens,11 April 2011
549,Harbhajan Singh,4.0,24,2,0,12,12.0,DC,Wankhede Stadium,07 May 2011
550,Yusuf Pathan,4.0,24,1,0,12,24.0,PBKS,Eden Gardens,30 April 2011
551,Dale Steyn,4.0,24,0,0,12,0.0,DC,Arun Jaitley Stadium,19 April 2011
552,Jaydev Unadkat,4.0,25,2,0,12,12.0,KTK,Jawaharlal Nehru Stadium,05 May 2011
553,Iqbal Abdulla,4.0,26,1,0,12,24.0,MI,Eden Gardens,22 May 2011
554,Shalabh Srivastava,3.0,20,2,0,12,9.0,PWI,IS Bindra Stadium,08 May 2011
555,Zaheer Khan,4.0,27,1,0,12,24.0,DC,Arun Jaitley Stadium,26 April 2011
556,Irfan Pathan,4.0,28,3,0,12,8.0,PBKS,HPCA Stadium,15 May 2011
557,Amit Mishra,4.0,28,2,0,12,12.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
558,Lasith Malinga,4.0,28,2,0,12,12.0,PWI,Wankhede Stadium,20 April 2011
559,Irfan Pathan,4.0,28,1,0,12,24.0,DEC,Arun Jaitley Stadium,19 April 2011
560,Vinay Kumar,3.4,26,1,0,12,22.0,RCB,Jawaharlal Nehru Stadium,09 April 2011
561,Yuvraj Singh,4.0,29,4,0,12,6.0,DC,DY Patil Stadium,17 April 2011
562,Doug Bollinger,4.0,30,2,0,12,12.0,MI,Wankhede Stadium,22 April 2011
563,Dale Steyn,4.0,30,0,0,12,0.0,PWI,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
564,Amit Mishra,3.2,26,1,0,12,20.0,PWI,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
565,Irfan Pathan,3.0,26,1,1,12,18.0,PBKS,Arun Jaitley Stadium,23 April 2011
566,Praveen Kumar,4.0,37,2,1,12,12.0,CSK,IS Bindra Stadium,13 April 2011
567,Praveen Kumar,4.0,37,0,0,12,0.0,RCB,M. Chinnaswamy Stadium,06 May 2011
568,Amit Mishra,4.0,12,1,0,11,24.0,KTK,Jawaharlal Nehru Stadium,27 April 2011
569,Jesse Ryder,3.0,9,1,1,11,18.0,PBKS,DY Patil Stadium,10 April 2011
570,Shane Warne,4.0,16,3,0,11,8.0,KTK,Sawai Mansingh Stadium,24 April 2011
