,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1462,Manoj Tiwary,40,23,173.91,3,2,PBKS,Holkar Cricket Stadium,08 April 2017
1463,Aaron Finch,33,19,173.68,3,2,RPS,Saurashtra Cricket Association Stadium,14 April 2017
1464,Shreyas Iyer,96,57,168.42,15,2,GL,Green Park,10 May 2017
1465,Pawan Negi,32,19,168.42,3,2,GL,M. Chinnaswamy Stadium,27 April 2017
1466,Gautam Gambhir,32,19,168.42,2,2,SRH,M. Chinnaswamy Stadium,17 May 2017
1467,Shaun Marsh,84,50,168.0,14,2,SRH,IS Bindra Stadium,28 April 2017
1468,Brendon McCullum,45,27,166.66,5,2,RPS,Maharashtra Cricket Association's International Stadium,01 May 2017
1469,Dwayne Smith,54,33,163.63,7,2,SRH,Green Park,13 May 2017
1470,Rishabh Pant,36,22,163.63,4,2,RPS,Arun Jaitley Stadium,12 May 2017
1471,Hashim Amla,65,40,162.5,9,2,GL,Saurashtra Cricket Association Stadium,23 April 2017
1472,Yuvraj Singh,26,16,162.5,2,2,KKR,Eden Gardens,15 April 2017
1473,Shreyas Iyer,50,31,161.29,5,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
1474,Shaun Marsh,25,16,156.25,0,2,MI,Wankhede Stadium,11 May 2017
1475,Jos Buttler,28,18,155.55,3,2,DC,Wankhede Stadium,22 April 2017
1476,Yusuf Pathan,59,39,151.28,6,2,DC,Arun Jaitley Stadium,17 April 2017
1477,Corey Anderson,18,12,150.0,0,2,GL,Arun Jaitley Stadium,04 May 2017
1478,Robin Uthappa,72,48,150.0,8,2,GL,Eden Gardens,21 April 2017
1479,Rohit Sharma,67,45,148.88,6,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2017
1480,MS Dhoni,31,21,147.61,2,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2017
1481,David Miller,28,19,147.36,2,2,KKR,Eden Gardens,13 April 2017
1482,Nitish Rana,53,36,147.22,4,2,GL,Wankhede Stadium,16 April 2017
1483,Wriddhiman Saha,25,17,147.05,2,2,KKR,Eden Gardens,13 April 2017
1484,Brendon McCullum,35,24,145.83,4,2,KKR,Saurashtra Cricket Association Stadium,07 April 2017
1485,Rahul Tripathi,45,31,145.16,3,2,MI,Wankhede Stadium,24 April 2017
1486,David Warner,49,34,144.11,7,2,MI,Wankhede Stadium,12 April 2017
1487,Virat Kohli,20,14,142.85,0,2,MI,Wankhede Stadium,01 May 2017
1488,Rishabh Pant,31,22,140.9,1,2,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017
1489,Moises Henriques,52,37,140.54,3,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
1490,Ishan Kishan,48,35,137.14,6,2,MI,Saurashtra Cricket Association Stadium,29 April 2017
1491,Shikhar Dhawan,62,46,134.78,4,2,MI,Rajiv Gandhi Intl. Cricket Stadium,08 May 2017
1492,Rishabh Pant,45,34,132.35,3,2,RCB,Arun Jaitley Stadium,14 May 2017
1493,Shreyas Iyer,33,25,132.0,1,2,SRH,Arun Jaitley Stadium,02 May 2017
1494,Ben Stokes,33,25,132.0,3,2,DC,Arun Jaitley Stadium,12 May 2017
1495,Virat Kohli,62,47,131.91,5,2,MI,M. Chinnaswamy Stadium,14 April 2017
1496,Manish Pandey,46,35,131.42,3,2,SRH,Eden Gardens,15 April 2017
1497,David Warner,70,54,129.62,7,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
1498,Ishan Kishan,31,24,129.16,3,2,RPS,Maharashtra Cricket Association's International Stadium,01 May 2017
1499,Steve Smith,27,21,128.57,1,2,SRH,Maharashtra Cricket Association's International Stadium,22 April 2017
1500,Andre Russell,88,36,244.44,1,11,CSK,Chidambaram,10 April 2018
1501,Chris Gayle,104,63,165.07,1,11,SRH,IS Bindra Stadium,19 April 2018
1502,Shreyas Iyer,93,40,232.5,3,10,KKR,Arun Jaitley Stadium,27 April 2018
1503,Sanju Samson,92,45,204.44,2,10,RCB,M. Chinnaswamy Stadium,15 April 2018
1504,AB de Villiers,68,30,226.66,2,8,CSK,M. Chinnaswamy Stadium,25 April 2018
1505,Shane Watson,117,57,205.26,11,8,SRH,Wankhede Stadium,27 May 2018
1506,Ambati Rayudu,82,53,154.71,3,8,RCB,M. Chinnaswamy Stadium,25 April 2018
1507,Jos Buttler,67,26,257.69,4,7,DC,Arun Jaitley Stadium,02 May 2018
1508,KL Rahul,66,29,227.58,2,7,KKR,Holkar Cricket Stadium,12 May 2018
1509,Dwayne Bravo,68,30,226.66,3,7,MI,Wankhede Stadium,07 April 2018
1510,MS Dhoni,70,34,205.88,1,7,RCB,M. Chinnaswamy Stadium,25 April 2018
