,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1209,Quinton de Kock,53,33,4,3,DC,Zayed Cricket Stadium,11 October 2020
1210,Jos Buttler,70,34,4,5,MI,Zayed Cricket Stadium,06 October 2020
1211,Devdutt Padikkal,63,34,6,1,RR,Zayed Cricket Stadium,03 October 2020
1212,David Warner,60,34,5,2,MI,Sharjah Cricket Stadium,04 October 2020
1213,Wriddhiman Saha,58,34,7,1,MI,Sharjah Cricket Stadium,03 November 2020
1214,Ravindra Jadeja,50,34,5,2,SRH,Dubai International Stadium,02 October 2020
1215,David Warner,85,35,10,1,MI,Sharjah Cricket Stadium,03 November 2020
1216,Nitish Rana,81,35,13,1,DC,Zayed Cricket Stadium,24 October 2020
1217,KL Rahul,77,35,7,3,MI,Dubai International Stadium,18 October 2020
1218,KL Rahul,69,35,7,1,RR,Sharjah Cricket Stadium,27 September 2020
1219,Steve Smith,69,35,4,4,CSK,Sharjah Cricket Stadium,22 September 2020
1220,Kane Williamson,67,35,5,4,DC,Zayed Cricket Stadium,08 November 2020
1221,Prithvi Shaw,66,35,4,4,KKR,Sharjah Cricket Stadium,03 October 2020
1222,Prithvi Shaw,64,35,9,1,CSK,Dubai International Stadium,25 September 2020
1223,Rishabh Pant,56,35,4,2,MI,Dubai International Stadium,10 November 2020
1224,Tom Curran,54,35,2,3,KKR,Dubai International Stadium,30 September 2020
1225,Pat Cummins,53,35,5,2,MI,Zayed Cricket Stadium,16 October 2020
1226,Manish Pandey,51,35,3,2,KKR,Zayed Cricket Stadium,26 September 2020
1227,KL Rahul,132,36,14,7,RCB,Dubai International Stadium,24 September 2020
1228,Rohit Sharma,68,36,5,4,DC,Dubai International Stadium,10 November 2020
1229,Marcus Stoinis,65,36,6,3,MI,Dubai International Stadium,05 November 2020
1230,Shubman Gill,57,36,3,4,PBKS,Sharjah Cricket Stadium,26 October 2020
1231,Kane Williamson,57,36,7,0,CSK,Dubai International Stadium,13 October 2020
1232,Devdutt Padikkal,56,36,8,0,SRH,Dubai International Stadium,21 September 2020
1233,Chris Gayle,53,36,1,5,RCB,Sharjah Cricket Stadium,15 October 2020
1234,Suryakumar Yadav,51,36,6,2,DC,Dubai International Stadium,05 November 2020
1235,Ishan Kishan,72,37,8,3,DC,Dubai International Stadium,31 October 2020
1236,Ruturaj Gaikwad,72,37,6,2,KKR,Dubai International Stadium,29 October 2020
1237,Jos Buttler,70,37,7,2,CSK,Zayed Cricket Stadium,19 October 2020
1238,Jonny Bairstow,61,37,6,2,RCB,Dubai International Stadium,21 September 2020
1239,KL Rahul,61,37,1,5,RCB,Sharjah Cricket Stadium,15 October 2020
1240,Ajinkya Rahane,60,37,5,1,RCB,Zayed Cricket Stadium,02 November 2020
1241,Shikhar Dhawan,54,37,6,0,RCB,Zayed Cricket Stadium,02 November 2020
1242,Devdutt Padikkal,54,37,5,2,MI,Dubai International Stadium,28 September 2020
1243,David Warner,52,37,5,1,PBKS,Dubai International Stadium,08 October 2020
1244,Ruturaj Gaikwad,62,38,6,1,PBKS,Zayed Cricket Stadium,01 November 2020
1245,Ishan Kishan,99,39,2,9,RCB,Dubai International Stadium,28 September 2020
1246,Virat Kohli,90,39,4,4,CSK,Dubai International Stadium,10 October 2020
1247,Rohit Sharma,80,39,3,6,KKR,Zayed Cricket Stadium,23 September 2020
1248,Shikhar Dhawan,69,39,6,1,MI,Zayed Cricket Stadium,11 October 2020
1249,Faf du Plessis,58,39,6,2,DC,Sharjah Cricket Stadium,17 October 2020
1250,AB de Villiers,56,39,5,0,SRH,Zayed Cricket Stadium,06 November 2020
1251,Quinton de Kock,53,39,3,3,PBKS,Dubai International Stadium,18 October 2020
1252,Shane Watson,50,39,6,1,KKR,Zayed Cricket Stadium,07 October 2020
1253,Rohit Sharma,70,40,8,3,PBKS,Zayed Cricket Stadium,01 October 2020
1254,Shreyas Iyer,65,40,6,2,MI,Dubai International Stadium,10 November 2020
1255,Manish Pandey,54,40,2,3,RR,Dubai International Stadium,11 October 2020
1256,Shreyas Iyer,53,40,3,2,RR,Dubai International Stadium,14 October 2020
1257,Devdutt Padikkal,50,40,5,0,DC,Zayed Cricket Stadium,02 November 2020
1258,Virat Kohli,72,41,7,2,RR,Zayed Cricket Stadium,03 October 2020
1259,KL Rahul,74,42,6,0,KKR,Zayed Cricket Stadium,10 October 2020
1260,Shubman Gill,70,42,5,2,SRH,Zayed Cricket Stadium,26 September 2020
1261,Ruturaj Gaikwad,65,42,4,3,RCB,Dubai International Stadium,25 October 2020
1262,Faf du Plessis,58,42,6,0,MI,Zayed Cricket Stadium,19 September 2020
1263,Shubman Gill,57,42,5,0,PBKS,Zayed Cricket Stadium,10 October 2020
1264,Virat Kohli,50,42,1,1,CSK,Dubai International Stadium,25 October 2020
1265,Nitish Rana,87,44,10,4,CSK,Dubai International Stadium,29 October 2020
1266,Jonny Bairstow,53,44,2,1,DC,Zayed Cricket Stadium,29 September 2020
1267,Kane Williamson,50,44,2,2,RCB,Zayed Cricket Stadium,06 November 2020
1268,Mayank Agarwal,89,45,7,4,DC,Dubai International Stadium,20 September 2020
1269,KL Rahul,63,46,7,1,CSK,Dubai International Stadium,04 October 2020
1270,Sam Curran,52,46,4,2,MI,Sharjah Cricket Stadium,23 October 2020
1271,Mandeep Singh,66,49,8,2,KKR,Sharjah Cricket Stadium,26 October 2020
1272,Vijay Shankar,52,51,6,0,RR,Dubai International Stadium,22 October 2020
1273,Ishan Kishan,84,16,11,4,SRH,Zayed Cricket Stadium,08 October 2021
1274,Kieron Pollard,87,17,6,8,CSK,Arun Jaitley Stadium,01 May 2021
1275,Prithvi Shaw,82,18,11,3,KKR,Narendra Modi Stadium,29 April 2021
1276,Yashasvi Jaiswal,50,19,6,3,CSK,Zayed Cricket Stadium,02 October 2021
1277,Ambati Rayudu,72,20,4,7,MI,Arun Jaitley Stadium,01 May 2021
1278,Deepak Hooda,64,20,4,6,RR,Wankhede Stadium,12 April 2021
1279,Andre Russell,54,21,3,6,CSK,Wankhede Stadium,21 April 2021
1280,Pat Cummins,66,23,4,6,CSK,Wankhede Stadium,21 April 2021
1281,Shimron Hetmyer,53,23,2,4,RCB,Narendra Modi Stadium,27 April 2021
1282,Suryakumar Yadav,82,24,13,3,SRH,Zayed Cricket Stadium,08 October 2021
1283,KL Rahul,98,25,7,8,CSK,Dubai International Stadium,07 October 2021
1284,Mayank Agarwal,69,25,7,4,DC,Wankhede Stadium,18 April 2021
1285,Ravindra Jadeja,62,25,4,5,RCB,Wankhede Stadium,25 April 2021
1286,Venkatesh Iyer,53,25,4,3,MI,Zayed Cricket Stadium,23 September 2021
1287,Ishan Kishan,50,25,5,3,RR,Sharjah Cricket Stadium,05 October 2021
1288,Devdutt Padikkal,101,27,11,6,RR,Wankhede Stadium,22 April 2021
1289,AB de Villiers,76,27,9,3,KKR,Chidambaram,18 April 2021
1290,Prithvi Shaw,72,27,9,3,CSK,Wankhede Stadium,10 April 2021
1291,Prithvi Shaw,60,27,7,3,CSK,Dubai International Stadium,10 October 2021
1292,Faf du Plessis,50,27,2,4,MI,Arun Jaitley Stadium,01 May 2021
1293,Glenn Maxwell,78,28,9,3,KKR,Chidambaram,18 April 2021
1294,Rahul Tripathi,53,28,5,2,SRH,Chidambaram,11 April 2021
1295,Rahul Tripathi,74,29,8,3,MI,Zayed Cricket Stadium,23 September 2021
1296,Glenn Maxwell,57,29,3,4,PBKS,Sharjah Cricket Stadium,03 October 2021
1297,KL Rahul,91,30,7,5,RR,Wankhede Stadium,12 April 2021
1298,Manish Pandey,69,30,7,2,MI,Zayed Cricket Stadium,08 October 2021
1299,Rishabh Pant,51,30,9,0,RR,Wankhede Stadium,15 April 2021
1300,Glenn Maxwell,50,30,6,1,RR,Dubai International Stadium,29 September 2021
1301,Shikhar Dhawan,92,31,13,2,PBKS,Wankhede Stadium,18 April 2021
1302,Shivam Dube,64,31,4,4,CSK,Zayed Cricket Stadium,02 October 2021
1303,Evin Lewis,58,31,5,3,RCB,Dubai International Stadium,29 September 2021
1304,David Warner,54,31,7,1,RCB,Chidambaram,14 April 2021
1305,Venkatesh Iyer,50,31,5,3,CSK,Dubai International Stadium,15 October 2021
1306,Faf du Plessis,56,32,6,1,SRH,Arun Jaitley Stadium,28 April 2021
1307,Jonny Bairstow,55,32,5,3,KKR,Chidambaram,11 April 2021
1308,Suresh Raina,54,32,3,4,DC,Wankhede Stadium,10 April 2021
1309,Glenn Maxwell,51,32,8,0,DC,Dubai International Stadium,08 October 2021
1310,Sanju Samson,119,33,12,7,PBKS,Wankhede Stadium,12 April 2021
1311,Ruturaj Gaikwad,64,33,6,4,KKR,Wankhede Stadium,21 April 2021
1312,Moeen Ali,58,33,5,5,MI,Arun Jaitley Stadium,01 May 2021
1313,Glenn Maxwell,56,33,6,3,MI,Dubai International Stadium,26 September 2021
1314,Suryakumar Yadav,56,33,7,2,KKR,Chidambaram,13 April 2021
1315,Virat Kohli,72,34,6,3,RR,Wankhede Stadium,22 April 2021
1316,Mayank Agarwal,67,34,7,2,RR,Dubai International Stadium,21 September 2021
1317,Faf du Plessis,95,35,9,4,KKR,Wankhede Stadium,21 April 2021
1318,KL Rahul,91,35,7,5,RCB,Narendra Modi Stadium,30 April 2021
1319,Faf du Plessis,86,35,7,3,KKR,Dubai International Stadium,15 October 2021
1320,Shikhar Dhawan,85,35,10,2,CSK,Wankhede Stadium,10 April 2021
1321,AB de Villiers,75,35,3,5,DC,Narendra Modi Stadium,27 April 2021
1322,Quinton de Kock,70,35,6,2,RR,Arun Jaitley Stadium,29 April 2021
1323,Devdutt Padikkal,70,35,5,3,CSK,Sharjah Cricket Stadium,24 September 2021
1324,Shikhar Dhawan,69,35,6,2,PBKS,Narendra Modi Stadium,02 May 2021
1325,Robin Uthappa,63,35,7,2,DC,Dubai International Stadium,10 October 2021
1326,Manish Pandey,61,35,5,1,CSK,Arun Jaitley Stadium,28 April 2021
1327,Prithvi Shaw,53,35,7,1,SRH,Chidambaram,25 April 2021
1328,Rishabh Pant,51,35,3,2,CSK,Dubai International Stadium,10 October 2021
1329,Ruturaj Gaikwad,75,36,12,0,SRH,Arun Jaitley Stadium,28 April 2021
1330,Jason Roy,60,36,8,1,RR,Dubai International Stadium,27 September 2021
1331,Mayank Agarwal,57,36,6,2,RCB,Sharjah Cricket Stadium,03 October 2021
1332,Virat Kohli,53,36,6,1,CSK,Sharjah Cricket Stadium,24 September 2021
1333,Mayank Agarwal,99,37,8,4,DC,Narendra Modi Stadium,02 May 2021
1334,Nitish Rana,80,37,9,4,SRH,Chidambaram,11 April 2021
1335,K.S Bharat,78,37,3,4,DC,Dubai International Stadium,08 October 2021
1336,Ruturaj Gaikwad,70,37,5,2,DC,Dubai International Stadium,10 October 2021
1337,Manish Pandey,61,37,2,3,KKR,Chidambaram,11 April 2021
1338,Quinton de Kock,55,37,4,3,KKR,Zayed Cricket Stadium,23 September 2021
1339,Glenn Maxwell,59,38,5,3,SRH,Chidambaram,14 April 2021
1340,Venkatesh Iyer,55,38,4,3,DC,Sharjah Cricket Stadium,13 October 2021
1341,Jos Buttler,124,39,11,8,SRH,Arun Jaitley Stadium,02 May 2021
1342,Sanju Samson,70,39,8,1,DC,Zayed Cricket Stadium,25 September 2021
1343,Venkatesh Iyer,67,39,9,1,PBKS,Dubai International Stadium,01 October 2021
1344,Rohit Sharma,63,40,5,2,PBKS,Chidambaram,23 April 2021
1345,David Miller,62,40,7,2,DC,Wankhede Stadium,15 April 2021
1346,Nitish Rana,57,40,6,2,MI,Chidambaram,13 April 2021
1347,Shubman Gill,56,40,4,2,RR,Sharjah Cricket Stadium,07 October 2021
1348,Ambati Rayudu,55,40,5,2,DC,Dubai International Stadium,04 October 2021
1349,Virat Kohli,51,40,3,3,MI,Dubai International Stadium,26 September 2021
1350,Shubman Gill,51,40,6,0,CSK,Dubai International Stadium,15 October 2021
1351,Saurabh Tiwary,50,40,5,0,CSK,Dubai International Stadium,19 September 2021
1352,Faf du Plessis,50,40,5,1,RCB,Wankhede Stadium,25 April 2021
1353,Ruturaj Gaikwad,88,41,9,4,MI,Dubai International Stadium,19 September 2021
1354,Sanju Samson,82,41,7,3,SRH,Dubai International Stadium,27 September 2021
1355,Kane Williamson,51,41,5,1,RR,Dubai International Stadium,27 September 2021
1356,Kane Williamson,66,42,8,0,DC,Chidambaram,25 April 2021
1357,Ruturaj Gaikwad,101,43,9,5,RR,Zayed Cricket Stadium,02 October 2021
1358,KL Rahul,67,43,4,2,KKR,Dubai International Stadium,01 October 2021
1359,Shubman Gill,57,44,10,0,SRH,Dubai International Stadium,03 October 2021
1360,KL Rahul,61,45,7,2,DC,Wankhede Stadium,18 April 2021
1361,Faf du Plessis,76,46,8,2,PBKS,Dubai International Stadium,07 October 2021
1362,Rishabh Pant,58,46,6,0,RCB,Narendra Modi Stadium,27 April 2021
1363,Jonny Bairstow,63,48,3,3,PBKS,Chidambaram,21 April 2021
1364,KL Rahul,60,50,3,3,MI,Chidambaram,23 April 2021
1365,David Warner,57,50,3,2,CSK,Arun Jaitley Stadium,28 April 2021
