,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0
1002,Lasith Malinga,4.0,35,2,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014,
1003,Dale Steyn,4.0,33,2,12.0,DC,Dubai International Stadium,25 April 2014,
1004,Ashish Nehra,4.0,51,2,12.0,PBKS,Wankhede Stadium,30 May 2014,
1005,Amit Mishra,4.0,56,2,12.0,PBKS,Sharjah Cricket Stadium,22 April 2014,
1006,Pravin Tambe,4.0,31,2,12.0,KKR,Zayed Cricket Stadium,29 April 2014,
1007,Ravichandran Ashwin,4.0,16,2,12.0,RCB,JSCA Stadium,18 May 2014,
1008,Morne Morkel,4.0,23,2,12.0,PBKS,Eden Gardens,28 May 2014,
1009,Mitchell Starc,4.0,21,2,12.0,MI,Dubai International Stadium,19 April 2014,
1010,Ben Hilfenhaus,4.0,32,2,12.0,SRH,Sharjah Cricket Stadium,27 April 2014,
1011,Muttiah Muralitharan,4.0,25,2,12.0,DC,M. Chinnaswamy Stadium,13 May 2014,
1012,Karanveer Singh,4.0,16,2,12.0,RR,IS Bindra Stadium,23 May 2014,
1013,Lakshmipathy Balaji,4.0,43,2,12.0,CSK,Zayed Cricket Stadium,18 April 2014,
1014,Pravin Tambe,4.0,25,2,12.0,DC,Arun Jaitley Stadium,03 May 2014,
1015,Jasprit Bumrah,4.0,31,2,12.0,PBKS,IS Bindra Stadium,21 May 2014,
1016,Rajat Bhatia,4.0,13,2,12.0,CSK,Dubai International Stadium,23 April 2014,
1017,Dale Steyn,4.0,20,2,12.0,MI,Dubai International Stadium,30 April 2014,
1018,Mitchell Starc,4.0,43,2,12.0,PBKS,M. Chinnaswamy Stadium,09 May 2014,
1019,Harbhajan Singh,4.0,13,2,12.0,RR,Narendra Modi Stadium,19 May 2014,
1020,Harbhajan Singh,4.0,27,2,12.0,CSK,Brabourne Stadium,28 May 2014,
1021,Mohit Sharma,4.0,38,2,12.0,PBKS,Barabati Stadium,07 May 2014,
1022,Imran Tahir,4.0,25,2,12.0,RR,Narendra Modi Stadium,15 May 2014,
1023,Amit Mishra,4.0,26,2,12.0,RR,Zayed Cricket Stadium,18 April 2014,
1024,Mitchell Starc,4.0,21,2,12.0,SRH,M. Chinnaswamy Stadium,04 May 2014,
1025,Bhuvneshwar Kumar,4.0,21,2,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014,
1026,Harbhajan Singh,4.0,27,2,12.0,CSK,Dubai International Stadium,25 April 2014,
1027,Dale Steyn,4.0,20,2,12.0,DC,Arun Jaitley Stadium,10 May 2014,
1028,Parvinder Awana,4.0,59,2,12.0,CSK,Wankhede Stadium,30 May 2014,
