,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
137,Ramesh Powar,9,8,21.0,132,5,2/11,26.4,6.28,25.2,0,0
138,Sudeep Tyagi,8,8,19.0,136,5,2/18,27.2,7.15,22.8,0,0
139,Tirumalasetti Suman,12,5,15.0,108,5,2/14,21.6,7.2,18.0,0,0
140,Dhawal Kulkarni,8,8,26.0,206,5,1/21,41.2,7.92,31.2,0,0
141,Scott Styris,2,2,8.0,64,5,3/32,12.8,8.0,9.6,0,0
142,Jacob Oram,11,7,15.3,133,5,2/12,26.6,8.58,18.6,0,0
143,Shoaib Ahmed,7,7,17.0,152,5,2/20,30.4,8.94,20.4,0,0
144,Manpreet Gony,7,7,17.0,172,5,2/32,34.4,10.11,20.4,0,0
145,JP Duminy,13,6,17.3,93,4,2/15,23.25,5.31,26.25,0,0
146,Murali Kartik,10,10,34.0,201,4,2/28,50.25,5.91,51.0,0,0
147,Kevin Pietersen,6,4,13.0,85,4,2/31,21.25,6.53,19.5,0,0
148,Abhishek Nayar,13,4,12.0,84,4,3/13,21.0,7.0,18.0,0,0
149,Balachandra Akhil,6,5,11.0,80,4,2/18,20.0,7.27,16.5,0,0
150,Dillon du Preez,2,2,7.0,56,4,3/32,14.0,8.0,10.5,0,0
151,Ashok Dinda,9,8,24.0,193,4,1/24,48.25,8.04,36.0,0,0
152,Venugopal Rao,16,6,15.0,122,4,2/23,30.5,8.13,22.5,0,0
153,Chaminda Vaas,2,2,8.0,71,4,2/19,17.75,8.87,12.0,0,0
154,Charl Langeveldt,1,1,4.0,15,3,3/15,5.0,3.75,8.0,0,0
155,Johan Botha,3,3,12.0,74,3,2/19,24.66,6.16,24.0,0,0
156,Jesse Ryder,5,5,17.0,115,3,2/14,38.33,6.76,34.0,0,0
157,Wilkin Mota,8,5,9.0,61,3,1/6,20.33,6.77,18.0,0,0
158,Laxmi Ratan Shukla,9,5,14.0,100,3,3/25,33.33,7.14,28.0,0,0
159,Shane Harwood,3,3,10.0,73,3,2/25,24.33,7.3,20.0,0,0
160,Ajantha Mendis,4,4,16.0,117,3,2/19,39.0,7.31,32.0,0,0
161,Thilan Thushara,2,2,8.0,60,3,2/28,20.0,7.5,16.0,0,0
162,Harmeet Singh Bansal,7,7,22.5,192,3,2/23,64.0,8.4,45.66,0,0
163,Ravichandran Ashwin,2,1,4.0,13,2,2/13,6.5,3.25,12.0,0,0
164,Dale Steyn,3,3,9.0,62,2,1/21,31.0,6.88,27.0,0,0
165,Chetanya Nanda,3,3,8.0,57,2,1/4,28.5,7.12,24.0,0,0
166,KP Appanna,5,5,12.0,87,2,1/24,43.5,7.25,36.0,0,0
167,Sourav Ganguly,13,6,12.0,97,2,2/24,48.5,8.08,36.0,0,0
168,Joginder Sharma,4,4,7.0,57,2,1/10,28.5,8.14,21.0,0,0
169,Vikramjeet Malik,5,5,12.0,98,2,1/12,49.0,8.16,36.0,0,0
170,Moises Henriques,4,4,12.1,107,2,1/32,53.5,8.79,36.5,0,0
171,Pankaj Singh,3,3,7.0,65,2,2/31,32.5,9.28,21.0,0,0
172,Anureet Singh,3,2,5.0,47,2,2/35,23.5,9.4,15.0,0,0
173,Andrew Flintoff,3,3,11.0,105,2,1/11,52.5,9.54,33.0,0,0
174,Ajinkya Rahane,8,1,1.0,5,1,1/5,5.0,5.0,6.0,0,0
175,Lee Carseldine,5,1,1.0,6,1,1/6,6.0,6.0,6.0,0,0
176,Tyron Henderson,2,2,6.0,40,1,1/30,40.0,6.66,36.0,0,0
177,Graham Napier,1,1,4.0,27,1,1/27,27.0,6.75,24.0,0,0
178,Chris Gayle,7,7,18.5,144,1,1/21,144.0,7.64,113.0,0,0
179,Dwayne Smith,8,8,14.0,124,1,1/25,124.0,8.85,84.0,0,0
180,Vikram Singh,5,4,9.0,82,1,1/22,82.0,9.11,54.0,0,0
181,Rohan Raje,4,4,6.5,72,1,1/25,72.0,10.53,41.0,0,0
182,Ravi Bopara,5,2,1.2,5,0,0/1,0.0,3.75,0.0,0,0
183,Morne Morkel,2,2,7.0,40,0,0/20,0.0,5.71,0.0,0,0
184,Karan Goel,9,4,8.0,61,0,0/11,0.0,7.62,0.0,0,0
185,Virat Kohli,16,3,6.0,46,0,0/9,0.0,7.66,0.0,0,0
186,David Hussey,4,3,4.0,34,0,0/6,0.0,8.5,0.0,0,0
187,Abhishek Raut,9,4,4.0,36,0,0/6,0.0,9.0,0.0,0,0
188,Sachin Tendulkar,13,4,6.0,58,0,0/7,0.0,9.66,0.0,0,0
189,Abhimanyu Mithun,1,1,4.0,42,0,0/42,0.0,10.5,0.0,0,0
190,Jaskaran Singh,2,1,3.0,32,0,0/32,0.0,10.66,0.0,0,0
191,Rahil Shaikh,1,1,1.0,11,0,0/11,0.0,11.0,0.0,0,0
192,Ranadeb Bose,1,1,2.0,24,0,0/24,0.0,12.0,0.0,0,0
193,Ross Taylor,11,1,1.0,13,0,0/13,0.0,13.0,0.0,0,0
194,Angelo Mathews,1,1,2.2,31,0,0/31,0.0,13.28,0.0,0,0
195,Mashrafe Mortaza,1,1,4.0,58,0,0/58,0.0,14.5,0.0,0,0
196,Pragyan Ojha,16,16,58.5,429,21,3/26,20.42,7.29,16.8,0,0
197,Anil Kumble,16,16,63.2,407,17,4/16,23.94,6.42,22.35,1,0
198,Amit Mishra,14,14,53.0,363,17,3/25,21.35,6.84,18.7,0,0
199,Harbhajan Singh,15,14,53.3,377,17,3/31,22.17,7.04,18.88,0,0
200,Vinay Kumar,14,14,46.1,396,16,4/40,24.75,8.57,17.31,1,0
201,Muttiah Muralitharan,12,12,48.0,329,15,3/16,21.93,6.85,19.2,0,0
202,Dale Steyn,15,15,59.0,406,15,3/18,27.06,6.88,23.6,0,0
203,Lasith Malinga,13,13,49.0,344,15,4/22,22.93,7.02,19.6,1,0
204,Kieron Pollard,14,12,37.0,274,15,3/17,18.26,7.4,14.8,0,0
205,Zaheer Khan,14,14,48.2,376,15,3/21,25.06,7.77,19.33,0,0
206,Irfan Pathan,14,14,46.2,426,15,3/24,28.4,9.19,18.53,0,0
207,Ryan Harris,8,8,30.4,233,14,3/18,16.64,7.59,13.14,0,0
208,Ravichandran Ashwin,12,12,48.0,293,13,3/16,22.53,6.1,22.15,0,0
209,Shadab Jakati,11,11,38.0,291,13,2/17,22.38,7.65,17.53,0,0
210,Jacques Kallis,16,16,57.0,476,13,2/3,36.61,8.35,26.3,0,0
211,RP Singh,12,12,42.0,370,13,3/17,28.46,8.8,19.38,0,0
212,Doug Bollinger,8,8,31.0,207,12,4/13,17.25,6.67,15.5,1,0
213,Andrew Symonds,16,16,53.0,372,12,3/21,31.0,7.01,26.5,0,0
214,Piyush Chawla,14,14,49.0,367,12,3/24,30.58,7.48,24.5,0,0
215,Siddharth Trivedi,11,10,35.3,260,11,3/16,23.63,7.32,19.36,0,0
216,Shane Warne,14,14,50.0,381,11,4/21,34.63,7.62,27.27,1,0
217,Albie Morkel,14,14,47.4,405,11,2/23,36.81,8.49,26.0,0,0
218,Praveen Kumar,12,12,45.0,380,10,3/18,38.0,8.44,27.0,0,0
219,Shaun Tait,8,8,31.1,264,10,3/22,26.4,8.47,18.7,0,0
220,Chaminda Vaas,6,6,22.0,139,9,3/21,15.44,6.31,14.66,0,0
221,Murali Kartik,10,10,39.0,253,9,2/20,28.11,6.48,26.0,0,0
222,Ashok Dinda,7,7,23.1,152,9,2/15,16.88,6.56,15.44,0,0
223,Shane Bond,8,8,31.0,224,9,2/24,24.88,7.22,20.66,0,0
224,Pradeep Sangwan,8,8,31.0,258,9,3/22,28.66,8.32,20.66,0,0
225,Harmeet Singh Bansal,8,8,24.0,174,8,2/24,21.75,7.25,18.0,0,0
226,Angelo Mathews,14,12,37.3,314,8,4/19,39.25,8.37,28.12,1,0
227,MF Maharoof,7,7,24.0,206,8,2/13,25.75,8.58,18.0,0,0
228,Dirk Nannes,9,9,34.2,224,7,2/12,32.0,6.52,29.42,0,0
229,Dilhara Fernando,5,5,19.0,138,7,2/23,19.71,7.26,16.28,0,0
230,Lakshmipathy Balaji,7,7,23.2,207,7,2/9,29.57,8.87,20.0,0,0
231,Ishant Sharma,7,7,25.0,236,7,2/33,33.71,9.44,21.42,0,0
232,Ashish Nehra,4,4,14.0,96,6,3/26,16.0,6.85,14.0,0,0
233,Suresh Raina,16,12,23.5,178,6,1/0,29.66,7.46,23.83,0,0
234,Umesh Yadav,7,7,24.0,184,6,2/24,30.66,7.66,24.0,0,0
235,Juan Theron,7,7,24.0,187,6,2/17,31.16,7.79,24.0,0,0
236,Shane Watson,6,6,22.0,184,6,3/37,30.66,8.36,22.0,0,0
237,Shalabh Srivastava,8,8,27.0,255,6,2/23,42.5,9.44,27.0,0,0
238,Jaskaran Singh,6,6,14.0,139,6,2/18,23.16,9.92,14.0,0,0
239,Yuvraj Singh,14,10,23.0,152,5,2/21,30.4,6.6,27.6,0,0
240,Paul Collingwood,8,6,14.5,101,5,2/19,20.2,6.8,17.8,0,0
241,Thilan Thushara,4,4,14.3,101,5,2/16,20.2,6.96,17.4,0,0
242,Yusuf Pathan,14,11,34.0,246,5,2/9,49.2,7.23,40.8,0,0
243,Charl Langeveldt,3,3,11.0,88,5,2/26,17.6,8.0,13.2,0,0
244,Rahul Sharma,6,6,20.4,167,5,2/42,33.4,8.08,24.8,0,0
245,Ravi Bopara,10,5,13.0,127,5,3/31,25.4,9.76,15.6,0,0
246,Andrew McDonald,4,4,14.0,138,5,2/37,27.6,9.85,16.8,0,0
247,Aditya Dole,3,3,11.0,112,5,2/36,22.4,10.18,13.2,0,0
248,Sumit Narwal,5,5,15.4,185,5,3/36,37.0,11.8,18.8,0,0
249,Ryan McLaren,10,10,34.0,270,4,2/28,67.5,7.94,51.0,0,0
250,Dimitri Mascarenhas,2,2,8.0,65,4,2/31,16.25,8.12,12.0,0,0
251,Jaydev Unadkat,3,3,10.2,85,4,3/26,21.25,8.22,15.5,0,0
252,Dwayne Bravo,10,10,26.1,228,4,2/11,57.0,8.71,39.25,0,0
253,Ajit Agarkar,7,7,22.0,203,4,2/32,50.75,9.22,33.0,0,0
254,Chris Gayle,9,6,16.0,152,4,1/9,38.0,9.5,24.0,0,0
255,Sarabjit Ladda,5,5,15.0,143,4,2/44,35.75,9.53,22.5,0,0
256,Virender Sehwag,14,3,5.4,23,3,2/18,7.66,4.05,11.33,0,0
257,Ramesh Powar,7,7,23.0,160,3,2/28,53.33,6.95,46.0,0,0
258,JM Kemp,5,5,7.2,54,3,3/12,18.0,7.36,14.66,0,0
259,Ali Murtaza,3,3,12.0,91,3,2/18,30.33,7.58,24.0,0,0
260,Kevin Pietersen,7,6,10.0,77,3,1/10,25.66,7.7,20.0,0,0
261,Rajat Bhatia,5,5,16.0,132,3,1/24,44.0,8.25,32.0,0,0
262,Tillakaratne Dilshan,6,4,8.1,70,3,1/7,23.33,8.57,16.33,0,0
263,Kamran Khan,3,3,6.0,53,3,2/13,17.66,8.83,12.0,0,0
264,Laxmi Ratan Shukla,4,4,12.0,106,3,1/30,35.33,8.83,24.0,0,0
265,Love Ablish,2,2,4.0,36,3,2/17,12.0,9.0,8.0,0,0
266,Munaf Patel,4,4,13.0,118,3,1/20,39.33,9.07,26.0,0,0
267,Bipul Sharma,5,4,10.0,94,3,1/19,31.33,9.4,20.0,0,0
268,Shanthakumaran Sreesanth,6,6,19.0,191,3,2/24,63.66,10.05,38.0,0,0
269,Roelof van der Merwe,1,1,4.0,27,2,2/27,13.5,6.75,12.0,0,0
270,Sanath Jayasuriya,4,4,9.0,68,2,2/17,34.0,7.55,27.0,0,0
271,Rohit Sharma,16,9,19.0,153,2,1/19,76.5,8.05,57.0,0,0
272,Brad Hodge,4,4,5.0,41,2,1/4,20.5,8.2,15.0,0,0
273,Ajantha Mendis,2,2,8.0,66,2,2/22,33.0,8.25,24.0,0,0
274,Daniel Vettori,3,3,11.4,97,2,1/30,48.5,8.31,35.0,0,0
275,Mitchell Marsh,3,3,10.0,88,2,1/19,44.0,8.8,30.0,0,0
276,Pankaj Singh,2,2,8.0,81,2,2/27,40.5,10.12,24.0,0,0
277,Rajagopal Sathish,12,4,8.0,81,2,1/11,40.5,10.12,24.0,0,0
278,Amit Uniyal,2,2,6.0,66,2,2/41,33.0,11.0,18.0,0,0
279,Joginder Sharma,3,3,8.0,89,2,1/23,44.5,11.12,24.0,0,0
280,Nayan Doshi,1,1,4.0,17,1,1/17,17.0,4.25,24.0,0,0
281,JP Duminy,7,2,5.3,37,1,1/15,37.0,6.72,33.0,0,0
282,Iqbal Abdulla,3,3,8.3,61,1,1/28,61.0,7.17,51.0,0,0
283,KP Appanna,2,2,7.0,51,1,1/24,51.0,7.28,42.0,0,0
284,Yo Mahesh,1,1,3.0,23,1,1/23,23.0,7.66,18.0,0,0
285,Vikramjeet Malik,3,3,7.1,62,1,1/23,62.0,8.65,43.0,0,0
286,Moises Henriques,1,1,4.0,35,1,1/35,35.0,8.75,24.0,0,0
287,Dwayne Smith,3,2,3.5,36,1,1/22,36.0,9.39,23.0,0,0
288,Yusuf Abdulla,2,2,6.5,66,1,1/30,66.0,9.65,41.0,0,0
289,Dhawal Kulkarni,1,1,4.0,40,1,1/40,40.0,10.0,24.0,0,0
290,Sudeep Tyagi,6,6,15.5,159,1,1/20,159.0,10.04,95.0,0,0
291,Manoj Tiwary,13,1,1.0,11,1,1/11,11.0,11.0,6.0,0,0
292,Manpreet Gony,3,3,8.0,92,1,1/33,92.0,11.5,48.0,0,0
293,Abhimanyu Mithun,1,1,3.0,39,1,1/39,39.0,13.0,18.0,0,0
294,Shrikant Wagh,1,1,1.0,16,1,1/16,16.0,16.0,6.0,0,0
