,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
852,Virat Kohli,14,5,280.0,3,0,PWI,Maharashtra Cricket Association's International Stadium,02 May 2013
853,Murali Vijay,14,4,350.0,0,2,RCB,M. Chinnaswamy Stadium,18 May 2013
854,Suresh Raina,14,4,350.0,0,2,PBKS,Chidambaram,02 May 2013
855,Dwayne Smith,14,5,280.0,0,2,KKR,Eden Gardens,24 April 2013
856,Angelo Mathews,14,5,280.0,0,2,KKR,Maharashtra Cricket Association's International Stadium,09 May 2013
857,Wriddhiman Saha,14,6,233.33,2,1,KKR,Chidambaram,28 April 2013
858,Manvinder Bisla,14,4,350.0,2,1,CSK,Chidambaram,28 April 2013
859,Sanju Samson,14,4,350.0,0,2,RCB,Sawai Mansingh Stadium,29 April 2013
860,MS Dhoni,14,4,350.0,2,1,SRH,Chidambaram,25 April 2013
861,David Warner,14,4,350.0,0,2,PWI,Shaheed Veer Narayan Singh International Cricket Stadium,28 April 2013
862,Rohit Sharma,13,5,260.0,0,2,DC,Arun Jaitley Stadium,21 April 2013
863,David Hussey,13,6,216.66,2,0,RR,Sawai Mansingh Stadium,14 April 2013
864,Suresh Raina,13,5,260.0,2,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
865,Morne Morkel,13,4,325.0,0,2,PBKS,HPCA Stadium,16 May 2013
866,Stuart Binny,13,6,216.66,1,1,RCB,M. Chinnaswamy Stadium,20 April 2013
867,Rohit Sharma,13,5,260.0,0,2,KKR,Eden Gardens,24 April 2013
868,Mitchell Marsh,13,5,260.0,0,2,RR,Sawai Mansingh Stadium,05 May 2013
869,Thisara Perera,13,5,260.0,1,1,PBKS,IS Bindra Stadium,11 May 2013
870,Azhar Mahmood,13,6,216.66,3,0,RCB,M. Chinnaswamy Stadium,14 May 2013
871,Shane Watson,13,3,433.33,0,2,CSK,Sawai Mansingh Stadium,12 May 2013
872,Virat Kohli,13,4,325.0,1,1,SRH,M. Chinnaswamy Stadium,09 April 2013
873,Michael Hussey,13,5,260.0,3,0,RR,Chidambaram,22 April 2013
874,Piyush Chawla,13,4,325.0,0,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 April 2013
875,Shaun Marsh,13,5,260.0,3,0,MI,HPCA Stadium,18 May 2013
876,Yuvraj Singh,13,3,433.33,0,2,RCB,Maharashtra Cricket Association's International Stadium,02 May 2013
877,Thisara Perera,13,4,325.0,1,1,KKR,Eden Gardens,14 April 2013
878,Ben Rohrer,13,4,325.0,3,0,RCB,Arun Jaitley Stadium,10 May 2013
879,Yuvraj Singh,13,4,325.0,0,2,MI,Maharashtra Cricket Association's International Stadium,11 May 2013
880,Irfan Pathan,13,5,260.0,1,1,RCB,M. Chinnaswamy Stadium,16 April 2013
881,Kieron Pollard,13,4,325.0,0,2,CSK,Arun Jaitley Stadium,21 May 2013
882,David Miller,13,4,325.0,0,2,MI,Wankhede Stadium,29 April 2013
883,Mandeep Singh,13,5,260.0,3,0,DC,Arun Jaitley Stadium,23 April 2013
884,Virat Kohli,13,4,325.0,1,1,PBKS,M. Chinnaswamy Stadium,14 May 2013
885,Cheteshwar Pujara,13,5,260.0,3,0,PBKS,IS Bindra Stadium,06 May 2013
886,Dwayne Smith,13,3,433.33,0,2,CSK,Arun Jaitley Stadium,21 May 2013
887,MS Dhoni,13,3,433.33,0,2,SRH,Chidambaram,25 April 2013
888,Robin Uthappa,13,4,325.0,0,2,KKR,JSCA Stadium,15 May 2013
889,Yuvraj Singh,13,5,260.0,0,2,PBKS,IS Bindra Stadium,21 April 2013
890,Ambati Rayudu,13,5,260.0,1,1,RR,Eden Gardens,24 May 2013
891,MS Dhoni,13,5,260.0,1,1,PWI,Maharashtra Cricket Association's International Stadium,30 April 2013
892,MS Dhoni,13,4,325.0,1,1,DC,Chidambaram,14 May 2013
893,Virat Kohli,13,3,433.33,0,2,KKR,M. Chinnaswamy Stadium,11 April 2013
894,Virender Sehwag,13,5,260.0,1,1,MI,Arun Jaitley Stadium,21 April 2013
