Season,Name,Nationality,Type,Team,Price
2022,Shahbaz Nadeem ,Indian ,Bowler , Lucknow Super Giants,"50,00,000 "
2022,Manan Vohra ,Indian ,Batsman , Lucknow Super Giants,"20,00,000 "
2022,Evin Lewis ,Overseas ,Batsman , Lucknow Super Giants,"2,00,00,000 "
2022,Mohsin Khan ,Indian ,Bowler , Lucknow Super Giants,"20,00,000 "
2022,Mayank Yadav ,Indian ,Bowler , Lucknow Super Giants,"20,00,000 "
2022,Ayush Badoni ,Indian ,All-Rounder , Lucknow Super Giants,"20,00,000 "
2022,Kyle Mayers ,Overseas ,All-Rounder , Lucknow Super Giants,"50,00,000 "
2022,Karan Sharma ,Indian ,All-Rounder , Lucknow Super Giants,"20,00,000 "
2022,Jason Holder ,Overseas ,All-Rounder , Lucknow Super Giants,"8,75,00,000 "
2022,Deepak Hooda ,Indian ,All-Rounder , Lucknow Super Giants,"5,75,00,000 "
2022,Ishan Kishan ,Indian ,Wicket Keeper , Mumbai Indians,"15,25,00,000 "
2022,Dewald Brevis ,Overseas ,Batsman , Mumbai Indians,"3,00,00,000 "
2022,Anmolpreet Singh ,Indian ,Batsman , Mumbai Indians,"20,00,000 "
2022,Basil Thampi ,Indian ,Bowler , Mumbai Indians,"30,00,000 "
2022,Murugan Ashwin ,Indian ,Bowler , Mumbai Indians,"1,60,00,000 "
2022,Jaydev Unadkat ,Indian ,Bowler , Mumbai Indians,"1,30,00,000 "
2022,Mayank Markande ,Indian ,Bowler , Mumbai Indians,"65,00,000 "
2022,N. Tilak Varma ,Indian ,All-Rounder , Mumbai Indians,"1,70,00,000 "
2022,Sanjay Yadav ,Indian ,All-Rounder , Mumbai Indians,"50,00,000 "
2022,Jofra Archer ,Overseas ,All-Rounder , Mumbai Indians,"8,00,00,000 "
2022,Daniel Sams ,Overseas ,All-Rounder , Mumbai Indians,"2,60,00,000 "
2022,Tymal Mills ,Overseas ,Bowler , Mumbai Indians,"1,50,00,000 "
2022,Tim David ,Overseas ,All-Rounder , Mumbai Indians,"8,25,00,000 "
2022,Ramandeep  Singh ,Indian ,All-Rounder , Mumbai Indians,"20,00,000 "
2022,Aryan Juyal ,Indian ,Wicket Keeper , Mumbai Indians,"20,00,000 "
2022,Fabian Allen ,Overseas ,All-Rounder , Mumbai Indians,"75,00,000 "
2022,Riley Meredith ,Overseas ,Bowler , Mumbai Indians,"1,00,00,000 "
2022,Rahul Buddhi ,Indian ,Batsman , Mumbai Indians,"20,00,000 "
2022,Hrithik Shokeen ,Indian ,All-Rounder , Mumbai Indians,"20,00,000 "
2022,Mohd. Arshad Khan ,Indian ,All-Rounder , Mumbai Indians,"20,00,000 "
2022,Arjun Tendulkar ,Indian ,All-Rounder , Mumbai Indians,"30,00,000 "
2022,Shikhar Dhawan ,Indian ,Batsman , Punjab Kings,"8,25,00,000 "
2022,Kagiso Rabada ,Overseas ,Bowler , Punjab Kings,"9,25,00,000 "
2022,Jonny Bairstow  ,Overseas ,Wicket Keeper , Punjab Kings,"6,75,00,000 "
2022,Rahul Chahar ,Indian ,Bowler , Punjab Kings,"5,25,00,000 "
2022,Harpreet  Brar ,Indian ,All-Rounder , Punjab Kings,"3,80,00,000 "
2022,Shahrukh Khan ,Indian ,All-Rounder , Punjab Kings,"9,00,00,000 "
2022,Jitesh Sharma ,Indian ,Wicket Keeper , Punjab Kings,"20,00,000 "
2022,Prabhsimran Singh ,Indian ,Wicket Keeper , Punjab Kings,"60,00,000 "
2022,Ishan Porel ,Indian ,Bowler , Punjab Kings,"25,00,000 "
2022,Liam Livingstone ,Overseas ,All-Rounder , Punjab Kings,"11,50,00,000 "
